"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land and Building)","Residential Area","02201","Aomori Prefecture","Aomori City","Asahicho","Aomori","20",12000000,"","440",,"Semi-shaped","24.0","185","1997","W","House","North","City Road",4.0,"Near Commercial District",80,200,"2nd quarter 2014",""
2,"Residential Land(Land Only)","Residential Area","02201","Aomori Prefecture","Aomori City","Asahicho","Aomori","23",12000000,"","380",30000,"Semi-rectangular Shaped","16.0","","","","","South","City Road",5.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
3,"Residential Land(Land and Building)","Residential Area","02201","Aomori Prefecture","Aomori City","Asahicho","Aomori","28",3000000,"","150",,"Semi-trapezoidal Shaped","14.5","105","1982","W","House","South","City Road",3.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
4,"Residential Land(Land Only)","Commercial Area","02201","Aomori Prefecture","Aomori City","Oaza Asamushi","Asamushionsen","2",1700000,"","125",14000,"Rectangular Shaped","6.5","","","","","East","City Road",4.5,"Commercial District",80,400,"2nd quarter 2014","Dealings in which auction or arbiter participates"
5,"Agricultural Land","","02201","Aomori Prefecture","Aomori City","Oaza Asamushi","","",250000,"","370",,"","","","","","","","",,"",,,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Residential Area","02201","Aomori Prefecture","Aomori City","Oaza Aburakawa","Aburakawa","21",5000000,"","240",21000,"Semi-square Shaped","15.1","","","","","Southeast","City Road",7.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
7,"Residential Land(Land and Building)","Residential Area","02201","Aomori Prefecture","Aomori City","Oaza Aburakawa","Aburakawa","5",6000000,"","135",,"Semi-rectangular Shaped","9.3","130","1962","W","House","Northwest","Prefectural Road",12.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
8,"Residential Land(Land Only)","Residential Area","02201","Aomori Prefecture","Aomori City","Oaza Aburakawa","Aburakawa","15",2100000,"","150",14000,"Irregular Shaped","6.6","","","","","Southwest","City Road",7.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
9,"Residential Land(Land Only)","Residential Area","02201","Aomori Prefecture","Aomori City","Oaza Aburakawa","Aburakawa","15",6300000,"","190",33000,"Semi-square Shaped","13.7","","","","","Southeast","City Road",6.5,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Residential Area","02201","Aomori Prefecture","Aomori City","Oaza Ishie","Shin-aomori","8",14000000,"","135",,"Semi-square Shaped","11.0","105","1993","W","House","Northwest","City Road",6.5,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
