"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","03201","Iwate Prefecture","Morioka City","Asagishi","Morioka","1H-1H30",9000000,"","175",52000,"Rectangular Shaped","14.5","","","","","East","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
2,"Residential Land(Land and Building)","Residential Area","03201","Iwate Prefecture","Morioka City","Asagishi","Morioka","1H-1H30",20000000,"","400",,"Rectangular Shaped","17.5","80","1992","W","House","North","City Road",16.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
3,"Residential Land(Land Only)","Residential Area","03201","Iwate Prefecture","Morioka City","Ueda","Morioka","25",14000000,"","195",74000,"Rectangular Shaped","12.0","","","","","Northeast","City Road",4.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
4,"Residential Land(Land Only)","Residential Area","03201","Iwate Prefecture","Morioka City","Ueda","Morioka","24",10000000,"","145",69000,"Semi-rectangular Shaped","10.0","","","","","Northwest","Road",4.5,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
5,"Residential Land(Land Only)","Potential Residential Area","03201","Iwate Prefecture","Morioka City","Odatecho","Aoyama (Iwate)","25",9000000,"","330",27000,"Semi-trapezoidal Shaped","18.0","","","","","East","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014","Dealings in which auction or arbiter participates"
6,"Residential Land(Land and Building)","Residential Area","03201","Iwate Prefecture","Morioka City","Odatecho","Morioka","30-60minutes",29000000,"","400",,"Semi-square Shaped","20.0","240","1977","RC","Housing Complex","West","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
7,"Agricultural Land","","03201","Iwate Prefecture","Morioka City","Kamikuriyagawa","","",60000,"","300",,"","","","","","","","",,"",,,"2nd quarter 2014",""
8,"Agricultural Land","","03201","Iwate Prefecture","Morioka City","Kamikuriyagawa","","",100000,"","620",,"","","","","","","","",,"",,,"2nd quarter 2014",""
9,"Residential Land(Land Only)","Residential Area","03201","Iwate Prefecture","Morioka City","Kitaioka","Iwateiioka","30-60minutes",16000000,"","270",61000,"Rectangular Shaped","12.3","","","","","South","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
10,"Residential Land(Land Only)","Residential Area","03201","Iwate Prefecture","Morioka City","Kitaioka","Senbokucho","30-60minutes",20000000,"","400",50000,"Square Shaped","20.0","","","","","South","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
