"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Akasaka","Ayashi","30-60minutes",3700000,"","230",16000,"Rectangular Shaped","14.0","","","","","West","City Road",9.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
2,"Residential Land(Land Only)","Residential Area","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Akasaka","Ayashi","30-60minutes",6700000,"","490",14000,"Semi-shaped","14.0","","","","","North","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
3,"Residential Land(Land Only)","Residential Area","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Akasaka","Ayashi","30-60minutes",3000000,"","175",17000,"Rectangular Shaped","11.0","","","","","South","City Road",9.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
4,"Residential Land(Land and Building)","Residential Area","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Asahigaoka","Asahigaoka (Sendai)","9",33000000,"","220",,"Semi-square Shaped","15.6","105","2014","W","House","North","City Road",4.2,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
5,"Residential Land(Land and Building)","Residential Area","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Asahigaoka","Asahigaoka (Sendai)","6",43000000,"","185",,"Rectangular Shaped","11.0","115","2014","W","House","South","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
6,"Pre-owned Condominiums, etc.","","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Asahigaoka","Kuromatsu (Sendai)","6",27000000,"4LDK","80",,"","","","2007","RC","House","","",,"Category 2 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
7,"Residential Land(Land and Building)","Residential Area","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Asahigaoka","Dainohara","14",28000000,"","240",,"Semi-rectangular Shaped","","190","1998","W","Housing Complex","West","Private Road",3.3,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
8,"Residential Land(Land and Building)","Residential Area","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Asahigaoka","Dainohara","11",24000000,"","130",,"Semi-rectangular Shaped","8.3","135","1991","W","Housing Complex, Office","West","City Road",6.8,"Category 1 Residential District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land Only)","Residential Area","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Asahigaoka","Dainohara","10",14000000,"","165",85000,"Semi-rectangular Shaped","","","","","","Southwest","Road",4.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Residential Area","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Asahigaoka","Dainohara","9",2000000,"","320",,"Semi-square Shaped","18.2","70","","W","Housing Complex","Northwest","City Road",4.5,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
11,"Residential Land(Land and Building)","Residential Area","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Ayashichuo","Ayashi","8",27000000,"","175",,"Trapezoidal Shaped","14.5","110","2014","W","House","West","Private Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
12,"Residential Land(Land Only)","Residential Area","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Aramakihonzawa","Kitayama (Miyagi)","19",2800000,"","160",18000,"Semi-trapezoidal Shaped","8.5","","","","","Southwest","City Road",5.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
13,"Pre-owned Condominiums, etc.","","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Ichibancho","Sendai","11",75000000,"2LDK","100",,"","","","","RC","House","","",,"Commercial District",80,500,"2nd quarter 2014","Dealings of non-redecorating real estate"
14,"Pre-owned Condominiums, etc.","","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Itsutsubashi","Itsutsubashi","3",7900000,"3DK","60",,"","","","","SRC","House","","",,"Commercial District",80,500,"2nd quarter 2014","Dealings of non-redecorating real estate"
15,"Pre-owned Condominiums, etc.","","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Itsutsubashi","Itsutsubashi","3",6000000,"1K","25",,"","","","1988","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
16,"Pre-owned Condominiums, etc.","","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Itsutsubashi","Itsutsubashi","4",4500000,"1K","20",,"","","","1988","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
17,"Pre-owned Condominiums, etc.","","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Itsutsubashi","Itsutsubashi","3",5000000,"1K","25",,"","","","1988","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
18,"Pre-owned Condominiums, etc.","","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Itsutsubashi","Itsutsubashi","7",3200000,"1K","15",,"","","","1985","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
19,"Pre-owned Condominiums, etc.","","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Itsutsubashi","Itsutsubashi","3",26000000,"4LDK","85",,"","","","1997","SRC","House","","",,"Commercial District",80,500,"2nd quarter 2014","Dealings of non-redecorating real estate"
20,"Forest Land","","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Imozawa","","",53000000,"","5000 m^2 or greater.",,"","","","","","","","",,"",,,"2nd quarter 2014",""
21,"Agricultural Land","","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Imozawa","","",3300000,"","4400",,"","","","","","","","",,"",,,"2nd quarter 2014",""
22,"Agricultural Land","","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Imozawa","","",970000,"","1300",,"","","","","","","","",,"",,,"2nd quarter 2014",""
23,"Agricultural Land","","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Imozawa","","",2800000,"","3700",,"","","","","","","","",,"",,,"2nd quarter 2014",""
24,"Agricultural Land","","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Imozawa","","",1400000,"","1800",,"","","","","","","","",,"",,,"2nd quarter 2014",""
25,"Agricultural Land","","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Imozawa","","",1000000,"","1400",,"","","","","","","","",,"",,,"2nd quarter 2014",""
26,"Pre-owned Condominiums, etc.","","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Otemachi","Sendai","21",14000000,"2LDK","55",,"","","","1998","RC","House","","",,"Commercial District",,,"2nd quarter 2014","Dealings of non-redecorating real estate"
27,"Pre-owned Condominiums, etc.","","04101","Miyagi Prefecture","Aoba Ward,Sendai City","Otamayashita","Sendai","25",11000000,"2LDK","60",,"","","","1980","SRC","House","","",,"Category 2 Residential District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
