"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Commercial Area","07201","Fukushima Prefecture","Fukushima City","Iizakamachi","Iizakaonsen","4",10000000,"","190",52000,"Semi-shaped","9.0","","","","","Northeast","Prefectural Road",5.5,"Commercial District",80,400,"2nd quarter 2014","Dealings between related objects"
2,"Residential Land(Land and Building)","Commercial Area","07201","Fukushima Prefecture","Fukushima City","Iizakamachi","Iizakaonsen","11",18000000,"","640",,"Irregular Shaped","17.0","350","1972","S","Office","North","Prefectural Road",5.8,"Commercial District",80,400,"2nd quarter 2014",""
3,"Residential Land(Land and Building)","Residential Area","07201","Fukushima Prefecture","Fukushima City","Iizakamachi","Hanamizuzaka","11",52000000,"","660",,"Semi-shaped","24.0","110","1991","W","House","Southeast","City Road",7.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
4,"Residential Land(Land and Building)","Residential Area","07201","Fukushima Prefecture","Fukushima City","Iizakamachinakano","Hanamizuzaka","30-60minutes",26000000,"","980",,"Irregular Shaped","7.0","460","1971","W","Other","North","City Road",10.0,"Urbanization Control Area",70,200,"2nd quarter 2014",""
5,"Residential Land(Land and Building)","Residential Area","07201","Fukushima Prefecture","Fukushima City","Iizakamachihirano","Hirano (Fukushima)","5",2500000,"","220",,"Semi-trapezoidal Shaped","","25","1965","W","House","No facing road","",,"Urbanization Control Area",70,200,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Residential Area","07201","Fukushima Prefecture","Fukushima City","Iizakamachihirano","Hirano (Fukushima)","9",11000000,"","230",47000,"Semi-rectangular Shaped","14.5","","","","","South","Road",6.0,"Urbanization Control Area",70,200,"2nd quarter 2014",""
7,"Residential Land(Land and Building)","Commercial Area","07201","Fukushima Prefecture","Fukushima City","Iizakamachihirano","Hirano (Fukushima)","13",63000000,"","2,000 m^2 or greater.",,"Irregular Shaped","50.0m or longer.","530","1992","LS","Office, Workshop, Warehouse, Other","Northeast","National Highway",13.5,"Urbanization Control Area",70,200,"2nd quarter 2014",""
8,"Residential Land(Land Only)","Residential Area","07201","Fukushima Prefecture","Fukushima City","Iizakamachihirano","Hirano (Fukushima)","5",3200000,"","280",11000,"Trapezoidal Shaped","13.0","","","","","South","City Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land and Building)","Residential Area","07201","Fukushima Prefecture","Fukushima City","Iizakamachimoniwa","Iizakaonsen","2H-",1000000,"","170",,"Semi-rectangular Shaped","11.0","140","1986","W","House","Southwest","City Road",2.0,"Outside Urban Planning Area",,,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Residential Area","07201","Fukushima Prefecture","Fukushima City","Iizakamachiyuno","Iizakaonsen","8",350000,"","115",,"Semi-rectangular Shaped","9.0","","","","","South","City Road",5.0,"Commercial District",80,400,"2nd quarter 2014",""
11,"Residential Land(Land and Building)","Residential Area","07201","Fukushima Prefecture","Fukushima City","Iizakamachiyuno","Iizakaonsen","8",550000,"","140",,"Semi-shaped","15.0","150","1965","W","House","Southwest","City Road",6.0,"Commercial District",80,400,"2nd quarter 2014",""
12,"Residential Land(Land Only)","Residential Area","07201","Fukushima Prefecture","Fukushima City","Iizakamachiyuno","Iizakaonsen","6",4500000,"","175",26000,"Semi-square Shaped","13.0","","","","","East","City Road",3.6,"Category 1 Residential District",60,200,"2nd quarter 2014",""
13,"Residential Land(Land Only)","Residential Area","07201","Fukushima Prefecture","Fukushima City","Iinomachiokubo","Matsukawa","1H30-2H",3000000,"","500",6000,"Semi-rectangular Shaped","18.0","","","","","Northwest","City Road",4.0,"Outside Urban Planning Area",,,"2nd quarter 2014",""
14,"Residential Land(Land and Building)","Residential Area","07201","Fukushima Prefecture","Fukushima City","Izumi","Iwashiroshimizu","9",8000000,"","150",,"Semi-rectangular Shaped","11.0","75","1984","W","House","West","Private Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
15,"Residential Land(Land and Building)","Residential Area","07201","Fukushima Prefecture","Fukushima City","Izumi","Iwashiroshimizu","7",24000000,"","410",,"Semi-rectangular Shaped","20.0","140","1986","W","House","North","City Road",7.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
16,"Residential Land(Land Only)","Residential Area","07201","Fukushima Prefecture","Fukushima City","Izumi","Iwashiroshimizu","7",11000000,"","180",59000,"Semi-shaped","14.0","","","","","East","Private Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
17,"Residential Land(Land Only)","Residential Area","07201","Fukushima Prefecture","Fukushima City","Izumi","Iwashiroshimizu","7",11000000,"","175",63000,"Semi-square Shaped","13.0","","","","","North","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
18,"Residential Land(Land and Building)","Residential Area","07201","Fukushima Prefecture","Fukushima City","Omori","Minamifukushima","25",19000000,"","185",,"Semi-rectangular Shaped","13.5","105","1980","W","House","North","City Road",4.5,"Semi-industrial District",60,200,"2nd quarter 2014",""
