"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Potential Residential Area","09201","Tochigi Prefecture","Utsunomiya City","Ishiimachi","Utsunomiya","1H-1H30",5000000,"","1500",3300,"Semi-rectangular Shaped","","","","","","South","Private Road",3.6,"Urbanization Control Area",60,200,"2nd quarter 2014",""
2,"Residential Land(Land and Building)","Commercial Area","09201","Tochigi Prefecture","Utsunomiya City","Ishiimachi","Utsunomiya","30-60minutes",14000000,"","550",,"Semi-rectangular Shaped","14.0","","","","","Northeast","National Highway",22.5,"Category 2 Residential District",60,200,"2nd quarter 2014",""
3,"Residential Land(Land and Building)","Residential Area","09201","Tochigi Prefecture","Utsunomiya City","Izumigaoka","Utsunomiya","30-60minutes",32000000,"","340",,"Semi-rectangular Shaped","24.5","190","1985","W","House","West","Private Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
4,"Pre-owned Condominiums, etc.","","09201","Tochigi Prefecture","Utsunomiya City","Izumigaoka","Utsunomiya","26",7700000,"3LDK","70",,"","","","1987","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates, Dealings of non-redecorating real estate"
5,"Pre-owned Condominiums, etc.","","09201","Tochigi Prefecture","Utsunomiya City","Izumigaoka","Utsunomiya","21",15000000,"3LDK","80",,"","","","1998","SRC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
6,"Residential Land(Land Only)","Residential Area","09201","Tochigi Prefecture","Utsunomiya City","Imaizumicho","Utsunomiya","20",11000000,"","145",72000,"Semi-trapezoidal Shaped","6.0","","","","","East","City Road",3.7,"Category 1 Residential District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land and Building)","Commercial Area","09201","Tochigi Prefecture","Utsunomiya City","Imaizumicho","Utsunomiya","18",6700000,"","115",,"Semi-rectangular Shaped","13.5","","1965","W","House","West","Prefectural Road",18.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
8,"Residential Land(Land and Building)","Residential Area","09201","Tochigi Prefecture","Utsunomiya City","Imamiya","Nishikawada","20",24000000,"","410",,"Rectangular Shaped","17.5","210","2003","LS","Office","South","City Road",12.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land and Building)","Residential Area","09201","Tochigi Prefecture","Utsunomiya City","Imamiya","Nishikawada","24",22000000,"","330",,"Semi-rectangular Shaped","15.0","180","1990","LS","House","East","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
10,"Residential Land(Land Only)","Residential Area","09201","Tochigi Prefecture","Utsunomiya City","Iwazomachi","Utsunomiya","30-60minutes",240000,"","70",3500,"Irregular Shaped","27.0","","","","","No facing road","",,"Urbanization Control Area",60,200,"2nd quarter 2014",""
11,"Residential Land(Land Only)","Residential Area","09201","Tochigi Prefecture","Utsunomiya City","Iwazomachi","Utsunomiya","30-60minutes",18000000,"","320",56000,"Semi-rectangular Shaped","26.0","","","","","East","Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
12,"Residential Land(Land and Building)","Residential Area","09201","Tochigi Prefecture","Utsunomiya City","Iwazomachi","Utsunomiya","30-60minutes",22000000,"","150",,"Square Shaped","12.0","100","2014","W","House","South","Private Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
13,"Residential Land(Land and Building)","Residential Area","09201","Tochigi Prefecture","Utsunomiya City","Uenomachi","Utsunomiya","1H-1H30",15000000,"","200",,"Semi-shaped","12.5","110","1990","W","House","Southeast","Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
14,"Residential Land(Land Only)","Residential Area","09201","Tochigi Prefecture","Utsunomiya City","Esojima","Esojima","13",12000000,"","170",71000,"Semi-square Shaped","10.0","","","","","East","Road",4.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
15,"Residential Land(Land and Building)","Residential Area","09201","Tochigi Prefecture","Utsunomiya City","Ozo","Tobuutsunomiya","25",25000000,"","210",,"Rectangular Shaped","9.5","250","1995","S","Office","West","City Road",7.5,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
16,"Residential Land(Land Only)","Residential Area","09201","Tochigi Prefecture","Utsunomiya City","Kaidomachi","Utsunomiya","1H-1H30",13000000,"","370",34000,"&quot;Flag-shaped&quot; etc.","18.0","","","","","North","Road",6.0,"Urbanization Control Area",50,200,"2nd quarter 2014",""
17,"Residential Land(Land and Building)","Residential Area","09201","Tochigi Prefecture","Utsunomiya City","Kamikuwajimamachi","Suzumenomiya","1H-1H30",32000000,"","330",,"Rectangular Shaped","5.5","","","","","South","Private Road",4.0,"Urbanization Control Area",60,200,"2nd quarter 2014","Dealings including private road"
18,"Residential Land(Land Only)","Residential Area","09201","Tochigi Prefecture","Utsunomiya City","Kamitomatsuricho","Utsunomiya","1H-1H30",13000000,"","200",65000,"Semi-rectangular Shaped","12.0","","","","","South","Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
19,"Residential Land(Land Only)","Commercial Area","09201","Tochigi Prefecture","Utsunomiya City","Kamiyokotamachi","Utsunomiya","30-60minutes",28000000,"","780",36000,"Semi-rectangular Shaped","25.0","","","","","No facing road","",,"Semi-industrial District",60,200,"2nd quarter 2014",""
20,"Residential Land(Land and Building)","Residential Area","09201","Tochigi Prefecture","Utsunomiya City","Kawadamachi","Utsunomiya","30-60minutes",9300000,"","115",,"Semi-rectangular Shaped","8.0","110","2006","W","House","South","Private Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
21,"Agricultural Land","","09201","Tochigi Prefecture","Utsunomiya City","Kawamatacho","","",6100000,"","1900",,"","","","","","","","",,"",,,"2nd quarter 2014",""
22,"Pre-owned Condominiums, etc.","","09201","Tochigi Prefecture","Utsunomiya City","Kikusuicho","Minamiutsunomiya","5",13000000,"3LDK","75",,"","","","2003","SRC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates, Dealings of non-redecorating real estate"
