"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land and Building)","Residential Area","10201","Gunma Prefecture","Maebashi City","Aoyagimachi","Gunmasoja","1H-1H30",11000000,"","200",,"Irregular Shaped","2.0","115","2006","W","House","West","City Road",3.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
2,"Residential Land(Land Only)","Residential Area","10201","Gunma Prefecture","Maebashi City","Asakuramachi","Maebashi","30-60minutes",12000000,"","250",47000,"Rectangular Shaped","14.0","","","","","East","City Road",5.8,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
3,"Residential Land(Land and Building)","Residential Area","10201","Gunma Prefecture","Maebashi City","Amagawaoshimamachi","Maebashioshima","14",12000000,"","135",,"Rectangular Shaped","11.0","120","2007","W","House","Southeast","Access Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
4,"Residential Land(Land Only)","Residential Area","10201","Gunma Prefecture","Maebashi City","Amagawaoshimamachi","Maebashioshima","18",13000000,"","230",53000,"Rectangular Shaped","12.0","","","","","South","City Road",6.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
5,"Residential Land(Land Only)","Residential Area","10201","Gunma Prefecture","Maebashi City","Amagawaoshimamachi","Maebashioshima","18",10000000,"","230",44000,"Rectangular Shaped","13.0","","","","","West","City Road",6.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
6,"Residential Land(Land and Building)","Residential Area","10201","Gunma Prefecture","Maebashi City","Amagawaoshimamachi","Maebashioshima","13",17000000,"","135",,"Rectangular Shaped","9.5","","","W","House","Southeast","City Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land Only)","Residential Area","10201","Gunma Prefecture","Maebashi City","Amagawaoshimamachi","Maebashioshima","10",18000000,"","290",60000,"Semi-trapezoidal Shaped","16.0","","","","","North","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
8,"Residential Land(Land Only)","Residential Area","10201","Gunma Prefecture","Maebashi City","Amagawabaramachi","Maebashi","29",20000000,"","270",74000,"Semi-rectangular Shaped","18.0","","","","","Southeast","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land Only)","Residential Area","10201","Gunma Prefecture","Maebashi City","Amagawabaramachi","Maebashi","25",35000000,"","570",61000,"Semi-trapezoidal Shaped","19.0","","","","","West","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",60,200,"2nd quarter 2014",""
10,"Pre-owned Condominiums, etc.","","10201","Gunma Prefecture","Maebashi City","Amagawabaramachi","Maebashi","15",2500000,"3LDK","60",,"","","","1990","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
11,"Agricultural Land","","10201","Gunma Prefecture","Maebashi City","Arakuchimachi","","",2300000,"","3100",,"","","","","","","","",,"",,,"2nd quarter 2014",""
12,"Agricultural Land","","10201","Gunma Prefecture","Maebashi City","Arakuchimachi","","",2800000,"","4000",,"","","","","","","","",,"",,,"2nd quarter 2014",""
13,"Residential Land(Land Only)","Residential Area","10201","Gunma Prefecture","Maebashi City","Aramakimachi","Maebashi","1H-1H30",13000000,"","175",75000,"Rectangular Shaped","12.0","","","","","Northeast","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
14,"Residential Land(Land and Building)","Residential Area","10201","Gunma Prefecture","Maebashi City","Aramakimachi","Maebashi","1H-1H30",36000000,"","520",,"Semi-rectangular Shaped","28.0","280","2000","S","Housing Complex","East","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
15,"Residential Land(Land and Building)","Residential Area","10201","Gunma Prefecture","Maebashi City","Edamachi","Shinmaebashi","21",22000000,"","250",,"Semi-shaped","13.0","135","1999","W","House","South","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,80,"2nd quarter 2014",""
16,"Residential Land(Land Only)","Commercial Area","10201","Gunma Prefecture","Maebashi City","Otemachi","Maebashi","18",3500000,"","55",66000,"Semi-square Shaped","7.3","","","","","West","City Road",10.0,"Commercial District",80,600,"2nd quarter 2014",""
17,"Pre-owned Condominiums, etc.","","10201","Gunma Prefecture","Maebashi City","Otemachi","Maebashi","15",12000000,"3LDK","60",,"","","","2005","RC","House","","",,"Commercial District",80,600,"2nd quarter 2014","Dealings in which auction or arbiter participates, Dealings of non-redecorating real estate"
18,"Residential Land(Land and Building)","Residential Area","10201","Gunma Prefecture","Maebashi City","Owatarimachi","Gunmasoja","30-60minutes",4000000,"","165",,"Semi-rectangular Shaped","8.8","70","1966","W","House","Southwest","City Road",6.0,"Industrial District",60,200,"2nd quarter 2014",""
19,"Residential Land(Land and Building)","Commercial Area","10201","Gunma Prefecture","Maebashi City","Owatarimachi","Gunmasoja","30-60minutes",30000000,"","460",,"Irregular Shaped","29.0","330","1999","S","Shop","West","Prefectural Road",18.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
20,"Residential Land(Land and Building)","Commercial Area","10201","Gunma Prefecture","Maebashi City","Owatarimachi","Shinmaebashi","29",25000000,"","340",,"Semi-rectangular Shaped","14.0","320","1971","RC","Office, Warehouse","Northeast","Prefectural Road",18.0,"Industrial District",60,200,"2nd quarter 2014",""
21,"Residential Land(Land Only)","Residential Area","10201","Gunma Prefecture","Maebashi City","Kashiwaguramachi","Ogo","1H-1H30",500000,"","180",2800,"Semi-rectangular Shaped","45.0","","","","","East","National Highway",8.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",70,200,"2nd quarter 2014",""
22,"Residential Land(Land Only)","Residential Area","10201","Gunma Prefecture","Maebashi City","Kashiwaguramachi","Ogo","1H-1H30",340000,"","185",1800,"Irregular Shaped","14.0","","","","","Northeast","National Highway",8.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",70,200,"2nd quarter 2014",""
23,"Residential Land(Land Only)","Residential Area","10201","Gunma Prefecture","Maebashi City","Kashiwaguramachi","Ogo","1H-1H30",1200000,"","820",1500,"Semi-square Shaped","27.5","","","","","East","City Road",3.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",70,200,"2nd quarter 2014",""
24,"Residential Land(Land Only)","Residential Area","10201","Gunma Prefecture","Maebashi City","Kashiwaguramachi","Ogo","1H-1H30",1300000,"","870",1500,"Semi-rectangular Shaped","35.0","","","","","East","City Road",3.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",70,200,"2nd quarter 2014",""
25,"Agricultural Land","","10201","Gunma Prefecture","Maebashi City","Kasukawamachiinasato","","",1500000,"","2300",,"","","","","","","","",,"",,,"2nd quarter 2014",""
26,"Residential Land(Land Only)","Residential Area","10201","Gunma Prefecture","Maebashi City","Kasukawamachikomigaito","Kitahara","13",6800000,"","930",7300,"Semi-shaped","33.0","","","","","North","City Road",5.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",70,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
27,"Residential Land(Land and Building)","Residential Area","10201","Gunma Prefecture","Maebashi City","Kasukawamachizen","Zen","9",2500000,"","230",,"Rectangular Shaped","","50","1991","W","Housing Complex","East","City Road",6.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",70,200,"2nd quarter 2014","Dealings in which auction or arbiter participates, Dealings including private road"
28,"Residential Land(Land Only)","Residential Area","10201","Gunma Prefecture","Maebashi City","Kamiizumimachi","Kamiizumi","5",16000000,"","300",51000,"Rectangular Shaped","13.0","","","","","South","City Road",8.0,"Urbanization Control Area",70,200,"2nd quarter 2014",""
29,"Residential Land(Land Only)","Residential Area","10201","Gunma Prefecture","Maebashi City","Kamiizumimachi","Shinzokekkan Center","13",11000000,"","380",28000,"Semi-trapezoidal Shaped","12.5","","","","","Southeast","City Road",6.0,"Urbanization Control Area",70,200,"2nd quarter 2014",""
