"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","11101","Saitama Prefecture","Nishi Ward,Saitama City","Oaza Uetayahon","Omiya (Saitama)","30-60minutes",19000000,"","690",28000,"Irregular Shaped","30.0","","","","","Northeast","City Road",8.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
2,"Pre-owned Condominiums, etc.","","11101","Saitama Prefecture","Nishi Ward,Saitama City","Oaza Uetayahon","Kitayono","30-60minutes",700000,"2LDK","50",,"","","","1973","RC","House","","",,"Urbanization Control Area",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
3,"Residential Land(Land Only)","Residential Area","11101","Saitama Prefecture","Nishi Ward,Saitama City","Oaza Uchinohongo","Nishioomiya","30-60minutes",27000000,"","440",60000,"Semi-rectangular Shaped","17.0","","","","","Southwest","City Road",3.4,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
4,"Residential Land(Land and Building)","Residential Area","11101","Saitama Prefecture","Nishi Ward,Saitama City","Oaza Sashiogi","Sashiogi","10",27000000,"","105",,"Semi-rectangular Shaped","9.4","105","2014","W","House","Northeast","Private Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
5,"Residential Land(Land and Building)","Residential Area","11101","Saitama Prefecture","Nishi Ward,Saitama City","Oaza Sashiogi","Sashiogi","24",13000000,"","100",,"Semi-rectangular Shaped","7.0","95","1996","W","House","Northeast","Private Road",4.5,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014","Dealings in which auction or arbiter participates"
6,"Residential Land(Land and Building)","Residential Area","11101","Saitama Prefecture","Nishi Ward,Saitama City","Oaza Sashiogi","Sashiogi","10",27000000,"","105",,"Semi-rectangular Shaped","9.1","100","2014","W","House","Southwest","Private Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land and Building)","Residential Area","11101","Saitama Prefecture","Nishi Ward,Saitama City","Oaza Sashiogi","Sashiogi","8",16000000,"","125",,"Irregular Shaped","10.0","80","1976","W","House","Southeast","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
8,"Residential Land(Land and Building)","Residential Area","11101","Saitama Prefecture","Nishi Ward,Saitama City","Oaza Sashiogi","Sashiogi","9",26000000,"","110",,"Semi-shaped","7.9","95","2014","W","House","Southwest","Private Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land and Building)","Residential Area","11101","Saitama Prefecture","Nishi Ward,Saitama City","Oaza Sashiogi","Sashiogi","9",26000000,"","105",,"Semi-rectangular Shaped","9.5","100","2014","W","House","Southwest","Private Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
10,"Residential Land(Land Only)","Residential Area","11101","Saitama Prefecture","Nishi Ward,Saitama City","Oaza Sashiogi","Nishioomiya","25",12000000,"","165",73000,"&quot;Flag-shaped&quot; etc.","3.0","","","","","Southwest","Private Road",4.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
