"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Pre-owned Condominiums, etc.","","12101","Chiba Prefecture","Chuo Ward,Chiba City","Asahicho","Chiba","28",13000000,"3LDK","70",,"","","","1998","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
2,"Residential Land(Land Only)","Residential Area","12101","Chiba Prefecture","Chuo Ward,Chiba City","Inohana","Honchiba","7",15000000,"","125",120000,"Semi-shaped","9.6","","","","","West","City Road",7.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
3,"Residential Land(Land and Building)","Residential Area","12101","Chiba Prefecture","Chuo Ward,Chiba City","Inohana","Honchiba","11",21000000,"","105",,"Irregular Shaped","7.0","100","1998","W","House","South","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
4,"Residential Land(Land Only)","Commercial Area","12101","Chiba Prefecture","Chuo Ward,Chiba City","Innai","Chiba","11",7000000,"","55",120000,"Rectangular Shaped","4.0","","","","","Northeast","City Road",16.0,"Commercial District",80,400,"2nd quarter 2014",""
5,"Residential Land(Land Only)","Residential Area","12101","Chiba Prefecture","Chuo Ward,Chiba City","Omoricho","Omoridai","8",35000000,"","1200",30000,"Irregular Shaped","","","","","","South","City Road",5.0,"Category 1 Exclusive Low Rise Residential District",50,150,"2nd quarter 2014",""
6,"Residential Land(Land and Building)","Residential Area","12101","Chiba Prefecture","Chuo Ward,Chiba City","Omoricho","Omoridai","7",21000000,"","110",,"Semi-rectangular Shaped","","","","","","Southwest","Private Road",4.0,"Category 1 Exclusive Low Rise Residential District",60,150,"2nd quarter 2014",""
7,"Residential Land(Land and Building)","Residential Area","12101","Chiba Prefecture","Chuo Ward,Chiba City","Omoricho","Omoridai","8",35000000,"","210",,"Semi-rectangular Shaped","","200","","W","Housing Complex","North","Ward Road",8.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
8,"Residential Land(Land Only)","Residential Area","12101","Chiba Prefecture","Chuo Ward,Chiba City","Oyumicho","Chiba","1H-1H30",8400000,"","145",58000,"Rectangular Shaped","10.0","","","","","West","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",60,150,"2nd quarter 2014",""
9,"Residential Land(Land Only)","Residential Area","12101","Chiba Prefecture","Chuo Ward,Chiba City","Oyumicho","Chiba","1H-1H30",16000000,"","450",35000,"Semi-rectangular Shaped","15.0","","","","","South","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Residential Area","12101","Chiba Prefecture","Chuo Ward,Chiba City","Kawadocho","Chiba","1H-1H30",7500000,"","190",,"Trapezoidal Shaped","15.0","110","1988","W","","Southeast","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
