"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Iidabashi","Kudanshita","4",78000000,"2LDK","70",,"","","","2003","RC","House","","",,"Commercial District",80,500,"2nd quarter 2014","Dealings of non-redecorating real estate"
2,"Residential Land(Land and Building)","Residential Area","13101","Tokyo","Chiyoda Ward","Ichibancho","Hanzomon","4",480000000,"","300",,"Semi-rectangular Shaped","13.5","1100","1972","RC","Other","North","Ward Road",6.6,"Category 2 Residential District",60,400,"2nd quarter 2014",""
3,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Ichibancho","Hanzomon","2",28000000,"1LDK","50",,"","","","1977","RC","House","","",,"Category 2 Residential District",80,500,"2nd quarter 2014","Dealings of non-redecorating real estate"
4,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Ichibancho","Hanzomon","2",11000000,"2DK","35",,"","","","1977","RC","House","","",,"Category 2 Residential District",80,500,"2nd quarter 2014","Dealings of non-redecorating real estate"
5,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Ichibancho","Hanzomon","0",11000000,"1K","20",,"","","","1976","SRC","House","","",,"Commercial District",80,600,"2nd quarter 2014","Dealings of non-redecorating real estate"
6,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Ichibancho","Hanzomon","0",21000000,"1K","25",,"","","","1984","SRC","House","","",,"Commercial District",80,600,"2nd quarter 2014","Dealings of non-redecorating real estate"
7,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Iwamotocho","Iwamotocho","4",16000000,"1K","20",,"","","","2004","SRC","House","","",,"Commercial District",80,800,"2nd quarter 2014",""
8,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Iwamotocho","Iwamotocho","1",24000000,"1K","20",,"","","","2006","SRC","House","","",,"Commercial District",80,700,"2nd quarter 2014",""
9,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Iwamotocho","Iwamotocho","5",47000000,"2LDK","50",,"","","","2013","RC","House","","",,"Commercial District",80,600,"2nd quarter 2014","Dealings of non-redecorating real estate"
10,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Iwamotocho","Iwamotocho","4",27000000,"1K+S","35",,"","","","2000","SRC","House","","",,"Commercial District",80,600,"2nd quarter 2014","Dealings of non-redecorating real estate"
11,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Uchikanda","Kanda (Tokyo)","4",11000000,"1K","15",,"","","","1979","SRC","House","","",,"Commercial District",80,700,"2nd quarter 2014",""
12,"Residential Land(Land Only)","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandakitanorimonocho","Kanda (Tokyo)","3",25000000,"","30",800000,"Semi-square Shaped","6.0","","","","","Northeast","Ward Road",6.0,"Commercial District",80,600,"2nd quarter 2014",""
13,"Residential Land(Land and Building)","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandakon-yacho","Kanda (Tokyo)","3",77000000,"","75",,"Rectangular Shaped","8.0","410","1964","RC","Office","Northwest","Ward Road",6.0,"Commercial District",80,600,"2nd quarter 2014",""
14,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandajimbocho","Kudanshita","3",8900000,"1K","15",,"","","","1978","RC","House","","",,"Commercial District",80,500,"2nd quarter 2014","Dealings of redecorated real estate"
15,"Residential Land(Land Only)","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandajimbocho","Jinbocho","3",60000000,"","45",1300000,"Rectangular Shaped","6.0","","","","","Southwest","Ward Road",8.0,"Commercial District",80,500,"2nd quarter 2014",""
16,"Residential Land(Land and Building)","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandajimbocho","Jinbocho","2",110000000,"","60",,"Semi-rectangular Shaped","5.5","140","1964","W","House, Shop","Northwest","Ward Road",3.1,"Commercial District",80,500,"2nd quarter 2014",""
17,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandajimbocho","Jinbocho","2",22000000,"1K","20",,"","","","2004","SRC","House","","",,"Commercial District",80,600,"2nd quarter 2014","Dealings of non-redecorating real estate"
18,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandasudacho","Akihabara","4",16000000,"1K","20",,"","","","2003","RC","House","","",,"Commercial District",80,800,"2nd quarter 2014","Dealings of non-redecorating real estate"
19,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandatacho","Ogawamachi (Tokyo)","1",18000000,"1K","20",,"","","","2005","SRC","House","","",,"Commercial District",80,600,"2nd quarter 2014","Dealings of non-redecorating real estate"
20,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandatacho","Ogawamachi (Tokyo)","1",20000000,"1K","20",,"","","","2005","SRC","House","","",,"Commercial District",80,600,"2nd quarter 2014",""
21,"Residential Land(Land and Building)","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandatsukasamachi","Awajicho","2",440000000,"","165",,"Semi-rectangular Shaped","10.5","840","1990","SRC","Office","East","Ward Road",8.0,"Commercial District",80,600,"2nd quarter 2014",""
22,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandatsukasamachi","Awajicho","3",18000000,"1K","25",,"","","","2005","SRC","House","","",,"Commercial District",80,600,"2nd quarter 2014",""
23,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandatsukasamachi","Awajicho","3",29000000,"1DK","30",,"","","","2005","SRC","House","","",,"Commercial District",80,600,"2nd quarter 2014","Dealings of non-redecorating real estate"
24,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kandaneribeicho","Akihabara","4",12000000,"1R","15",,"","","","1986","SRC","House","","",,"Commercial District",80,800,"2nd quarter 2014","Dealings of redecorated real estate"
25,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kudankita","Ichigaya","4",14000000,"2DK","35",,"","","","1979","RC","House","","",,"Commercial District",80,500,"2nd quarter 2014","Dealings of non-redecorating real estate"
26,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Kudamminami","Kudanshita","8",40000000,"1LDK","40",,"","","","2000","SRC","House","","",,"Commercial District",80,500,"2nd quarter 2014","Dealings of redecorated real estate"
27,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Sambancho","Hanzomon","6",19000000,"1K","20",,"","","","2002","RC","House","","",,"Category 1 Residential District",60,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
28,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Sotokanda","Akihabara","4",17000000,"1K","20",,"","","","2003","SRC","House","","",,"Commercial District",80,600,"2nd quarter 2014",""
29,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Sotokanda","Akihabara","4",18000000,"1K","20",,"","","","2003","SRC","House","","",,"Commercial District",80,600,"2nd quarter 2014","Dealings of non-redecorating real estate"
30,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Nibancho","Kojimachi","1",13000000,"1K","20",,"","","","1982","SRC","House","","",,"Commercial District",80,500,"2nd quarter 2014","Dealings of non-redecorating real estate"
31,"Pre-owned Condominiums, etc.","","13101","Tokyo","Chiyoda Ward","Hayabusacho","Hanzomon","2",9400000,"1K","15",,"","","","1983","SRC","House","","",,"Commercial District",80,600,"2nd quarter 2014","Dealings of non-redecorating real estate"
