"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","16201","Toyama Prefecture","Toyama City","Akada","Kamihori","21",21000000,"","770",27000,"Semi-rectangular Shaped","30.0","","","","","West","City Road",4.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
2,"Residential Land(Land Only)","Residential Area","16201","Toyama Prefecture","Toyama City","Akada","Kosugi (Chitetsu)","16",8500000,"","240",36000,"Rectangular Shaped","11.0","","","","","North","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
3,"Pre-owned Condominiums, etc.","","16201","Toyama Prefecture","Toyama City","Akebonocho","Okudachugakkomae","4",15000000,"3LDK","70",,"","","","1999","SRC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
4,"Residential Land(Land Only)","Residential Area","16201","Toyama Prefecture","Toyama City","Ishisaka","Toyama","30-60minutes",1400000,"","40",34000,"Semi-trapezoidal Shaped","12.0","","","","","East","Prefectural Road",10.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
5,"Residential Land(Land and Building)","Residential Area","16201","Toyama Prefecture","Toyama City","Ishisakashin","Toyama","30-60minutes",19000000,"","130",,"Semi-trapezoidal Shaped","8.0","140","2005","W","House","South","City Road",8.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Residential Area","16201","Toyama Prefecture","Toyama City","Ishisakashin","Toyama","29",8000000,"","195",41000,"Semi-shaped","12.3","","","","","West","City Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land and Building)","Residential Area","16201","Toyama Prefecture","Toyama City","Ishiya","Kaihotsu","30-60minutes",4000000,"","270",,"Rectangular Shaped","15.0","135","1974","W","House","Southwest","City Road",5.7,"Urbanization Control Area",60,200,"2nd quarter 2014",""
8,"Residential Land(Land and Building)","Commercial Area","16201","Toyama Prefecture","Toyama City","Isobemachi","Toyama","23",14000000,"","115",,"Semi-rectangular Shaped","9.7","135","1982","RC","Office, Warehouse","West","City Road",22.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land and Building)","Residential Area","16201","Toyama Prefecture","Toyama City","Isobemachi","Toyama","26",25000000,"","210",,"Rectangular Shaped","13.0","220","1996","W","House","West","City Road",21.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
10,"Residential Land(Land Only)","Residential Area","16201","Toyama Prefecture","Toyama City","Inashiro","Sasazu","28",1800000,"","160",11000,"Rectangular Shaped","11.4","","","","","North","Road",4.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",60,200,"2nd quarter 2014",""
