"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Commercial Area","17201","Ishikawa Prefecture","Kanazawa City","Akatsuchimachi","Kanazawa","1H-1H30",190000000,"","2,000 m^2 or greater.",44000,"Irregular Shaped","50.0m or longer.","","","","","Southwest","Prefectural Road",30.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
2,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Asanohommachi","Kanazawa","20",8800000,"","195",46000,"Trapezoidal Shaped","10.0","","","","","West","City Road",5.0,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
3,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Asanohommachi","Kanazawa","18",20000000,"","175",,"&quot;Flag-shaped&quot; etc.","3.5","125","2004","W","House","Southwest","City Road",6.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
4,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Asahimachi","Kanazawa","30-60minutes",12000000,"","175",70000,"Semi-rectangular Shaped","9.0","","","","","Northeast","City Road",6.7,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
5,"Residential Land(Land and Building)","Commercial Area","17201","Ishikawa Prefecture","Kanazawa City","Arimatsu","Kanazawa","30-60minutes",100000000,"","700",,"Irregular Shaped","33.0","470","1986","S","Shop","Northwest","Prefectural Road",25.0,"Semi-residential District",60,200,"2nd quarter 2014",""
6,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Awagasakimachi","Kanazawa","1H-1H30",18000000,"","155",,"Irregular Shaped","4.0","95","2007","W","House","Southwest","City Road",5.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
7,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Awagasakimachi","Kanazawa","1H-1H30",7800000,"","150",,"Rectangular Shaped","16.0","115","","W","House","Northeast","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
8,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Ishibiki","Kanazawa","30-60minutes",12000000,"","105",,"Semi-trapezoidal Shaped","7.0","105","1998","W","Housing Complex","Southeast","City Road",7.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Ishibiki","Kanazawa","30-60minutes",32000000,"","350",,"Rectangular Shaped","14.5","210","1966","W","House","Northwest","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
10,"Pre-owned Condominiums, etc.","","17201","Ishikawa Prefecture","Kanazawa City","Ishibiki","Kanazawa","30-60minutes",17000000,"3LDK","100",,"","","","1989","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
11,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Izumi","Kanazawa","30-60minutes",14000000,"","190",,"Semi-trapezoidal Shaped","25.0","210","1971","W","House, Factory","South","City Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
12,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Izumi","Kanazawa","30-60minutes",1200000,"","190",,"Rectangular Shaped","9.3","300","1988","S","Housing Complex","West","City Road",2.9,"Category 1 Residential District",60,200,"2nd quarter 2014",""
13,"Residential Land(Land and Building)","Commercial Area","17201","Ishikawa Prefecture","Kanazawa City","Izumigaoka","Kanazawa","30-60minutes",57000000,"","1200",,"Semi-rectangular Shaped","50.0m or longer.","2,000 m^2 or greater.","1972","RC","Office","North","City Road",19.0,"Semi-residential District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
14,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Izumigaoka","Kanazawa","30-60minutes",15000000,"","150",100000,"Rectangular Shaped","11.0","","","","","West","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
15,"Pre-owned Condominiums, etc.","","17201","Ishikawa Prefecture","Kanazawa City","Izumigaoka","Kanazawa","30-60minutes",24000000,"3LDK","80",,"","","","","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
16,"Pre-owned Condominiums, etc.","","17201","Ishikawa Prefecture","Kanazawa City","Izumigaoka","Kanazawa","30-60minutes",22000000,"2LDK","75",,"","","","2007","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
17,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Izuminodemachi","Kanazawa","1H-1H30",16000000,"","145",110000,"Semi-rectangular Shaped","11.0","","","","","Northwest","City Road",4.5,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
18,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Izuminomachi","Kanazawa","1H-1H30",17000000,"","155",110000,"Rectangular Shaped","8.5","","","","","North","City Road",8.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
19,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Izuminomachi","Kanazawa","30-60minutes",23000000,"","190",120000,"Semi-square Shaped","14.7","","","","","South","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
20,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Izuminomachi","Kanazawa","30-60minutes",170000000,"","760",,"Semi-shaped","19.5","1500","1990","RC","Housing Complex","Southwest","City Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
21,"Pre-owned Condominiums, etc.","","17201","Ishikawa Prefecture","Kanazawa City","Izuminomachi","Kanazawa","30-60minutes",400000,"1K","20",,"","","","1990","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
22,"Pre-owned Condominiums, etc.","","17201","Ishikawa Prefecture","Kanazawa City","Izumihommachi","Kanazawa","30-60minutes",8100000,"3LDK","65",,"","","","1990","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
23,"Pre-owned Condominiums, etc.","","17201","Ishikawa Prefecture","Kanazawa City","Izumihommachi","Kanazawa","30-60minutes",18000000,"","75",,"","","","2003","SRC","House","","",,"Semi-industrial District",60,200,"2nd quarter 2014",""
24,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Izumomachi","Kanazawa","30-60minutes",23000000,"","130",,"Semi-rectangular Shaped","7.6","105","2014","","","East","City Road",4.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
25,"Pre-owned Condominiums, etc.","","17201","Ishikawa Prefecture","Kanazawa City","Itodashimmachi","Kanazawa","30-60minutes",6500000,"1LDK","50",,"","","","1997","RC","House","","",,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
26,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Irie","Kanazawa","30-60minutes",16000000,"","130",,"Rectangular Shaped","10.0","105","1982","W","House","West","City Road",4.9,"Category 1 Residential District",60,200,"2nd quarter 2014",""
27,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Irie","Kanazawa","30-60minutes",4200000,"","70",60000,"Irregular Shaped","9.0","","","","","East","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
28,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Iwademachi","Morimoto","19",1000000,"","370",2700,"Semi-rectangular Shaped","","","","","","Southwest","City Road",4.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
29,"Residential Land(Land Only)","Potential Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Utsugimachi","Kanazawa","2H-",12000000,"","1100",11000,"Rectangular Shaped","40.0","","","","","Northeast","City Road",6.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
30,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Unedanaka","Kanazawa","1H-1H30",24000000,"","400",62000,"Trapezoidal Shaped","19.6","","","","","Southeast","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
31,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Unedahigashi","Kanazawa","30-60minutes",19000000,"","180",110000,"Semi-rectangular Shaped","11.5","","","","","Southeast","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
32,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Unedahigashi","Kanazawa","30-60minutes",16000000,"","180",87000,"Rectangular Shaped","11.3","","","","","Northeast","City Road",6.3,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
33,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Unedahigashi","Kanazawa","30-60minutes",32000000,"","360",87000,"Rectangular Shaped","22.5","","","","","Northeast","City Road",6.3,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
34,"Residential Land(Land and Building)","Commercial Area","17201","Ishikawa Prefecture","Kanazawa City","Umedamachi","Morimoto","26",16000000,"","660",,"Semi-rectangular Shaped","43.0","135","2000","W","Shop","Northwest","Prefectural Road",19.0,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
35,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Enkoji","Kanazawa","1H-1H30",15000000,"","240",,"Rectangular Shaped","15.0","130","1981","W","House","North","City Road",5.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
36,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Enkoji","Kanazawa","1H-1H30",16000000,"","220",,"Semi-rectangular Shaped","14.1","165","1972","W","House","West","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
37,"Pre-owned Condominiums, etc.","","17201","Ishikawa Prefecture","Kanazawa City","Otemachi","Kanazawa","21",2100000,"1K","20",,"","","","1989","RC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
38,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Obamachi","Morimoto","24",8000000,"","280",29000,"Semi-trapezoidal Shaped","13.0","","","","","Southeast","City Road",4.9,"Urbanization Control Area",60,200,"2nd quarter 2014",""
39,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Oshino","Kanazawa","1H-1H30",9200000,"","115",79000,"Semi-rectangular Shaped","7.0","","","","","North","Road",5.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
40,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Oshino","Nishikanazawa","9",6900000,"","145",48000,"Semi-rectangular Shaped","9.0","","","","","South","Road",4.5,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
41,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Otomarumachi","Kanazawa","25",25000000,"","150",,"Rectangular Shaped","9.1","115","2014","W","House","Northeast","City Road",7.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
42,"Pre-owned Condominiums, etc.","","17201","Ishikawa Prefecture","Kanazawa City","Owaricho","Kanazawa","18",1500000,"1LDK","15",,"","","","1987","SRC","House","","",,"Commercial District",80,500,"2nd quarter 2014","Dealings of non-redecorating real estate"
43,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kasamaihommachi","Kanazawa","1H-1H30",9500000,"","165",58000,"Semi-rectangular Shaped","11.0","","","","","Northeast","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
44,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kasugamachi","Kanazawa","30-60minutes",4700000,"","80",,"Semi-rectangular Shaped","3.7","90","1955","W","House","Southeast","City Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
45,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Katsuramachi","Kanazawa","1H-1H30",14000000,"","170",82000,"Trapezoidal Shaped","15.0","","","","","North","City Road",8.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
46,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kanaichimachi","Morimoto","16",9500000,"","175",54000,"Rectangular Shaped","10.7","","","","","Southeast","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
47,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kanaiwakita","Kanazawa","1H-1H30",6400000,"","140",,"Semi-rectangular Shaped","8.2","65","","","","Southeast","City Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
48,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kanaiwakita","Kanazawa","1H-1H30",4000000,"","95",,"Semi-rectangular Shaped","7.3","70","1977","W","House","East","Road",3.8,"Category 1 Residential District",60,200,"2nd quarter 2014",""
49,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kanaiwahigashi","Kanazawa","1H-1H30",13000000,"","230",,"Semi-square Shaped","15.0","270","1972","W","House, Office","South","City Road",8.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
50,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kamiaraya","Kanazawa","1H-1H30",19000000,"","280",68000,"Semi-rectangular Shaped","14.0","","","","","East","City Road",13.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
51,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kamiyasuhara","Kanazawa","1H-1H30",56000000,"","920",60000,"Semi-square Shaped","29.5","","","","","East","City Road",16.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
52,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kamiyachimachi","Higashikanazawa","30-60minutes",7800000,"","330",,"Semi-rectangular Shaped","18.5","175","1981","W","House","North","City Road",4.5,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
53,"Residential Land(Land Only)","Industrial Area","17201","Ishikawa Prefecture","Kanazawa City","Kawaraichimachi","Morimoto","26",140000000,"","2,000 m^2 or greater.",33000,"Semi-rectangular Shaped","50.0m or longer.","","","","","Southwest","City Road",9.0,"Industrial District",60,200,"2nd quarter 2014",""
54,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kannondomachi","Kanazawa","1H-1H30",16000000,"","165",,"Irregular Shaped","22.0","120","1979","W","House","South","City Road",6.0,"Industrial District",60,200,"2nd quarter 2014",""
55,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kannondomachi","Kanazawa","1H-1H30",18000000,"","175",,"Rectangular Shaped","10.8","120","1979","W","House","South","City Road",6.0,"Industrial District",60,200,"2nd quarter 2014",""
56,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kikugawa","Kanazawa","30-60minutes",4000000,"","60",,"Semi-trapezoidal Shaped","7.8","120","1978","RC","House","Southwest","City Road",5.0,"Near Commercial District",80,200,"2nd quarter 2014",""
57,"Residential Land(Land Only)","Commercial Area","17201","Ishikawa Prefecture","Kanazawa City","Kikugawa","Kanazawa","30-60minutes",8000000,"","160",50000,"Irregular Shaped","14.0","","","","","Northwest","City Road",20.0,"Semi-residential District",60,200,"2nd quarter 2014",""
58,"Residential Land(Land Only)","Commercial Area","17201","Ishikawa Prefecture","Kanazawa City","Kikugawa","Kanazawa","30-60minutes",19000000,"","340",56000,"Semi-trapezoidal Shaped","25.0","","","","","Northwest","City Road",20.0,"Near Commercial District",80,200,"2nd quarter 2014",""
59,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kigoshi","Kanazawa","1H-1H30",13000000,"","200",62000,"Rectangular Shaped","15.8","","","","","South","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
60,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kigoshi","Kanazawa","1H-1H30",13000000,"","240",53000,"Rectangular Shaped","19.3","","","","","North","City Road",5.7,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
61,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kigoshimachi","Kanazawa","1H-1H30",7800000,"","190",41000,"Semi-rectangular Shaped","15.0","","","","","East","City Road",4.8,"Urbanization Control Area",60,200,"2nd quarter 2014",""
62,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kishigawamachi","Morimoto","30-60minutes",3700000,"","270",14000,"Semi-trapezoidal Shaped","19.0","","","","","East","City Road",2.8,"Urbanization Control Area",60,200,"2nd quarter 2014",""
63,"Forest Land","","17201","Ishikawa Prefecture","Kanazawa City","Kishigawamachi","","",3100,"","155",,"","","","","","","","",,"",,,"2nd quarter 2014",""
64,"Forest Land","","17201","Ishikawa Prefecture","Kanazawa City","Kishigawamachi","","",5100,"","260",,"","","","","","","","",,"",,,"2nd quarter 2014",""
65,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kubo","Kanazawa","1H-1H30",500000,"","160",,"Semi-rectangular Shaped","15.0","70","1972","W","House","East","Road",3.0,"Category 1 Exclusive Low Rise Residential District",60,100,"2nd quarter 2014",""
66,"Residential Land(Land Only)","Commercial Area","17201","Ishikawa Prefecture","Kanazawa City","Kubo","Kanazawa","1H30-2H",18000000,"","240",75000,"Semi-rectangular Shaped","13.0","","","","","Southwest","Prefectural Road",26.0,"Semi-residential District",60,200,"2nd quarter 2014",""
67,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kubo","Kanazawa","1H-1H30",6000000,"","210",,"Semi-trapezoidal Shaped","17.5","65","1966","W","House","North","City Road",10.0,"Semi-residential District",60,200,"2nd quarter 2014",""
68,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kubo","Kanazawa","1H-1H30",1600000,"","85",19000,"Semi-shaped","17.5","","","","","North","City Road",10.0,"Semi-residential District",60,200,"2nd quarter 2014",""
69,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kubo","Kanazawa","1H30-2H",11000000,"","80",,"Semi-rectangular Shaped","7.5","80","1985","W","House","Southeast","City Road",5.0,"Semi-residential District",60,200,"2nd quarter 2014",""
70,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kubo","Kanazawa","1H-1H30",10000000,"","170",62000,"Rectangular Shaped","8.5","","","","","West","City Road",4.5,"Category 1 Exclusive Low Rise Residential District",60,100,"2nd quarter 2014",""
71,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kubo","Kanazawa","1H-1H30",5300000,"","150",35000,"Semi-rectangular Shaped","20.0","","","","","East","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",60,100,"2nd quarter 2014",""
72,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Gokudemmachi","Kanazawa","30-60minutes",8200000,"","135",60000,"Rectangular Shaped","8.7","","","","","South","City Road",6.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
73,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Kosakamachi","Kanazawa","30-60minutes",6800000,"","170",40000,"Rectangular Shaped","","","","","","North","Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
74,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Goshomachi","Kanazawa","30-60minutes",22000000,"","240",,"Semi-rectangular Shaped","16.8","135","2002","W","House","Southwest","Prefectural Road",13.5,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
75,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Goshomachi","Kanazawa","30-60minutes",2400000,"","90",27000,"Semi-rectangular Shaped","7.3","","","","","Northwest","Road",3.5,"Category 1 Exclusive Low Rise Residential District",60,100,"2nd quarter 2014",""
