"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land and Building)","Residential Area","18201","Fukui Prefecture","Fukui City","Asuwa","Fukui (Fukui)","23",27000000,"","170",,"Semi-trapezoidal Shaped","5.0","115","2014","W","House","North","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
2,"Residential Land(Land Only)","Industrial Area","18201","Fukui Prefecture","Fukui City","Ishimoricho","Morita","19",31000000,"","1000",30000,"Semi-square Shaped","30.4","","","","","East","City Road",12.0,"Industrial District",60,200,"2nd quarter 2014",""
3,"Residential Land(Land Only)","Residential Area","18201","Fukui Prefecture","Fukui City","Inadamotomachi","Morita","12",2900000,"","80",36000,"Semi-rectangular Shaped","10.6","","","","","Northwest","City Road",11.0,"Near Commercial District",80,200,"2nd quarter 2014",""
4,"Residential Land(Land Only)","Residential Area","18201","Fukui Prefecture","Fukui City","Uenohommachi","Morita","20",3500000,"","125",28000,"Trapezoidal Shaped","7.4","","","","","South","Prefectural Road",22.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
5,"Residential Land(Land Only)","Residential Area","18201","Fukui Prefecture","Fukui City","Uenohommachi","Morita","21",8100000,"","210",38000,"Trapezoidal Shaped","8.4","","","","","South","Access Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
6,"Residential Land(Land and Building)","Residential Area","18201","Fukui Prefecture","Fukui City","Uebusecho","Fukui (Fukui)","1H-1H30",3600000,"","490",,"Semi-rectangular Shaped","49.0","105","","W","House","North","Road",3.5,"Urbanization Control Area",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
7,"Forest Land","","18201","Fukui Prefecture","Fukui City","Usakaotanicho","","",5000,"","165",,"","","","","","","","",,"",,,"2nd quarter 2014",""
8,"Forest Land","","18201","Fukui Prefecture","Fukui City","Usakaotanicho","","",20000,"","660",,"","","","","","","","",,"",,,"2nd quarter 2014",""
9,"Forest Land","","18201","Fukui Prefecture","Fukui City","Usakaotanicho","","",800000,"","5000 m^2 or greater.",,"","","","","","","","",,"",,,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Residential Area","18201","Fukui Prefecture","Fukui City","Usui","Fukui (Fukui)","30-60minutes",35000000,"","410",,"Semi-square Shaped","20.9","380","1995","S","Office, Warehouse","East","City Road",12.0,"Category 1 Residential District",60,300,"2nd quarter 2014",""
