"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","01101","Hokkaido","Chuo Ward,Sapporo City","Asahigaoka","Maruyamakoen","26",33000000,"","340",97000,"Semi-shaped","16.4","","","","","Southeast","City Road",9.0,"Category 1 Exclusive Low Rise Residential District",40,80,"2nd quarter 2014",""
2,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Odoorinishi","Nishi 11-chome","2",32000000,"1DK","50",,"","","","2012","RC","House","","",,"Commercial District",80,600,"2nd quarter 2014","Dealings of non-redecorating real estate"
3,"Residential Land(Land Only)","Commercial Area","01101","Hokkaido","Chuo Ward,Sapporo City","Odoorinishi","Nishi 18-chome","2",83000000,"","310",270000,"Rectangular Shaped","12.7","","","","","South","City Road",10.9,"Commercial District",80,400,"2nd quarter 2014",""
4,"Residential Land(Land Only)","Commercial Area","01101","Hokkaido","Chuo Ward,Sapporo City","Odoorinishi","Nishi 18-chome","5",25000000,"","90",280000,"Irregular Shaped","6.8","","","","","North","City Road",10.9,"Near Commercial District",80,300,"2nd quarter 2014",""
5,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Odoorinishi","Nishi 18-chome","2",1900000,"1K","15",,"","","","1989","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
6,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Odoorinishi","Nishi 18-chome","2",6000000,"3LDK","70",,"","","","1986","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of redecorated real estate"
7,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Odoorinishi","Nishi 18-chome","4",12000000,"4LDK","80",,"","","","1980","SRC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
8,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Odoorinishi","Nishi 18-chome","2",17000000,"3LDK","70",,"","","","1986","RC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of redecorated real estate"
9,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Odoorinishi","Maruyamakoen","1",3200000,"1K","15",,"","","","1991","SRC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
10,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Odoorinishi","Maruyamakoen","3",13000000,"3LDK","65",,"","","","1985","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
11,"Residential Land(Land and Building)","Commercial Area","01101","Hokkaido","Chuo Ward,Sapporo City","Odoorihigashi","Bus Center Mae","6",49000000,"","220",,"Rectangular Shaped","8.5","470","2003","W","Housing Complex","East","City Road",8.0,"Near Commercial District",80,300,"2nd quarter 2014",""
12,"Residential Land(Land and Building)","Commercial Area","01101","Hokkaido","Chuo Ward,Sapporo City","Odoorihigashi","Bus Center Mae","3",160000000,"","560",,"Rectangular Shaped","18.0","1500","1993","S","Office","South","City Road",20.0,"Near Commercial District",80,300,"2nd quarter 2014",""
13,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Odoorihigashi","Bus Center Mae","2",6000000,"2LDK","40",,"","","","1973","SRC","House","","",,"Commercial District",80,600,"2nd quarter 2014","Dealings of redecorated real estate"
14,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Odoorihigashi","Bus Center Mae","2",1500000,"Open Floor","30",,"","","","1973","SRC","House","","",,"Commercial District",80,600,"2nd quarter 2014","Dealings of non-redecorating real estate"
15,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Kita1jonishi","Nishi 18-chome","7",40000000,"2LDK","85",,"","","","2010","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
16,"Residential Land(Land and Building)","Commercial Area","01101","Hokkaido","Chuo Ward,Sapporo City","Kita1jonishi","Maruyamakoen","5",22000000,"","120",,"Rectangular Shaped","6.7","130","1973","W","House, Shop","North","City Road",21.8,"Near Commercial District",80,300,"2nd quarter 2014",""
17,"Residential Land(Land and Building)","Commercial Area","01101","Hokkaido","Chuo Ward,Sapporo City","Kita1jonishi","Maruyamakoen","5",17000000,"","60",,"Semi-rectangular Shaped","5.5","95","1964","W","House, Shop","East","City Road",11.0,"Commercial District",80,400,"2nd quarter 2014",""
18,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Kita1jonishi","Maruyamakoen","6",31000000,"3LDK","70",,"","","","2005","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
19,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Kita1jonishi","Maruyamakoen","5",17000000,"3LDK","70",,"","","","1982","SRC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of redecorated real estate"
20,"Residential Land(Land and Building)","Commercial Area","01101","Hokkaido","Chuo Ward,Sapporo City","Kita1johigashi","Bus Center Mae","5",34000000,"","330",,"Irregular Shaped","7.0","710","1994","S","Housing Complex","South","National Highway",25.0,"Near Commercial District",80,300,"2nd quarter 2014",""
21,"Residential Land(Land Only)","Commercial Area","01101","Hokkaido","Chuo Ward,Sapporo City","Kita1johigashi","Bus Center Mae","10",130000000,"","870",150000,"Semi-trapezoidal Shaped","17.0","","","","","South","National Highway",25.0,"Near Commercial District",80,300,"2nd quarter 2014",""
22,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Kita2jonishi","Nishi 11-chome","6",5500000,"1LDK","45",,"","","","1976","RC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
23,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Kita2jonishi","Nishi 11-chome","10",26000000,"2LDK","80",,"","","","2006","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
24,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Kita2jonishi","Nishi 11-chome","10",28000000,"4LDK","105",,"","","","2006","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
25,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Kita2jonishi","Maruyamakoen","5",20000000,"4LDK","115",,"","","","1991","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
26,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Kita3jonishi","Nishi 11-chome","9",5000000,"1LDK","75",,"","","","1986","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
27,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Kita3jonishi","Nishi 11-chome","8",13000000,"2LDK","55",,"","","","2000","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
28,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Kita3jonishi","Nishi 11-chome","8",15000000,"","75",,"","","","2000","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings in which auction or arbiter participates"
29,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Kita3jonishi","Nishi 11-chome","8",14000000,"3LDK","75",,"","","","2000","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
30,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Kita3jonishi","Nishi 11-chome","11",17000000,"3LDK","75",,"","","","1997","SRC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
31,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Kita3jonishi","Nishi 11-chome","8",19000000,"3LDK","75",,"","","","2000","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
32,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Kita3jonishi","Nishi 18-chome","9",4800000,"1K","30",,"","","","1991","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
33,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Kita3jonishi","Nishi 18-chome","8",22000000,"3LDK","75",,"","","","2004","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
34,"Residential Land(Land Only)","Residential Area","01101","Hokkaido","Chuo Ward,Sapporo City","Kita3jonishi","Nishi 28-chome","5",20000000,"","110",180000,"Rectangular Shaped","7.6","","","","","North","Private Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
35,"Residential Land(Land Only)","Residential Area","01101","Hokkaido","Chuo Ward,Sapporo City","Kita3jonishi","Maruyamakoen","11",24000000,"","125",190000,"Irregular Shaped","9.1","","","","","South","City Road",14.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
36,"Pre-owned Condominiums, etc.","","01101","Hokkaido","Chuo Ward,Sapporo City","Kita3johigashi","Sapporo (Sapporoshiei)","7",24000000,"3LDK","75",,"","","","2004","RC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
