"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Arayaokawamachi","Araya (Akita)","16",1800000,"","80",,"Rectangular Shaped","6.3","65","1988","W","House","Southeast","City Road",7.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
2,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Arayakatsuhiradai","Akita","1H-1H30",9500000,"","260",37000,"Rectangular Shaped","17.0","","","","","East","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
3,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Arayatembinno","Akita","1H-1H30",14000000,"","260",,"Semi-trapezoidal Shaped","7.3","140","1993","W","House","Southeast","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
4,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Arayatembinno","Akita","1H-1H30",8200000,"","230",,"Rectangular Shaped","14.0","75","1991","W","House","Northeast","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
5,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Arayatembinno","Akita","1H-1H30",8800000,"","230",,"Rectangular Shaped","14.0","75","1991","W","House","Northeast","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Industrial Area","05201","Akita Prefecture","Akita City","Arayatorikimachi","Araya (Akita)","10",61000000,"","2,000 m^2 or greater.",16000,"Semi-rectangular Shaped","46.5","","","","","Northwest","City Road",16.5,"Exclusive Industrial District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land Only)","Potential Residential Area","05201","Akita Prefecture","Akita City","Arayamaenomachi","Araya (Akita)","13",3000000,"","400",7600,"Rectangular Shaped","18.7","","","","","South","Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
8,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Arayamaenomachi","Araya (Akita)","13",3800000,"","165",23000,"Rectangular Shaped","8.9","","","","","West","Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
9,"Residential Land(Land Only)","Potential Residential Area","05201","Akita Prefecture","Akita City","Arayamaenomachi","Araya (Akita)","13",1000000,"","690",1500,"Irregular Shaped","","","","","","South","Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Arayamaenomachi","Araya (Akita)","12",15000000,"","165",,"Rectangular Shaped","9.0","75","2014","W","House","West","Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
11,"Residential Land(Land Only)","Potential Residential Area","05201","Akita Prefecture","Akita City","Arayamaenomachi","Araya (Akita)","13",1000000,"","185",5500,"Rectangular Shaped","8.7","","","","","South","Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
12,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Arayayutakamachi","Akita","30-60minutes",11000000,"","230",,"Semi-trapezoidal Shaped","14.5","155","1990","S","Warehouse","Southwest","City Road",5.0,"Industrial District",60,200,"2nd quarter 2014",""
13,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Iijimakokucho","Kamiiijima","12",3500000,"","170",,"Semi-rectangular Shaped","12.0","80","1986","W","House","Northeast","Private Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
14,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Iijimanaganohoncho","Tsuchizaki","23",7700000,"","165",,"Semi-rectangular Shaped","14.8","120","1990","W","House","Northeast","City Road",27.5,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
15,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Iijimamatsunenishicho","Kamiiijima","11",5800000,"","360",,"Semi-trapezoidal Shaped","24.7","80","1967","W","House","Southeast","Private Road",2.8,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
16,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Izumi","Akita","30-60minutes",1200000,"","330",3600,"Irregular Shaped","9.5","","","","","No facing road","",,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
17,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Izumikita","Akita","30-60minutes",11000000,"","165",64000,"Rectangular Shaped","9.0","","","","","West","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
18,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Izumikita","Akita","30-60minutes",32000000,"","145",,"Rectangular Shaped","8.9","110","2014","W","House","East","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
19,"Pre-owned Condominiums, etc.","","05201","Akita Prefecture","Akita City","Izumikita","Akita","30-60minutes",20000000,"3LDK","70",,"","","","2007","RC","House","","",,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
20,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Izumichuo","Akita","30-60minutes",1700000,"","80",22000,"Semi-rectangular Shaped","3.4","","","","","Southwest","City Road",6.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
21,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Izumichuo","Akita","30-60minutes",3000000,"","120",,"Rectangular Shaped","7.5","60","1975","W","House","West","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
22,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Izumibaba","Akita","30-60minutes",4000000,"","260",,"Semi-square Shaped","16.0","105","1982","W","House","South","Private Road",3.3,"Category 1 Residential District",60,200,"2nd quarter 2014",""
23,"Pre-owned Condominiums, etc.","","05201","Akita Prefecture","Akita City","Izumiminami","Akita","30-60minutes",22000000,"4LDK","90",,"","","","2003","RC","House","","",,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
24,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Ushijimahigashi","Ugoushijima","11",9800000,"","340",,"Rectangular Shaped","18.0","105","1975","W","House","West","Private Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
25,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Ushijimahigashi","Ugoushijima","13",4500000,"","170",27000,"Semi-rectangular Shaped","9.3","","","","","West","Private Road",4.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014","Dealings including private road"
26,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Ushijimahigashi","Ugoushijima","13",7400000,"","240",,"Rectangular Shaped","13.3","185","1984","W","Housing Complex","West","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
27,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Ushijimahigashi","Ugoushijima","13",30000000,"","900",33000,"Semi-rectangular Shaped","16.8","","","","","South","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
28,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Ushijimahigashi","Ugoushijima","15",9500000,"","280",,"Semi-rectangular Shaped","19.0","115","1978","W","House","West","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
29,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Osumi","Ugoushijima","11",8200000,"","210",40000,"Rectangular Shaped","16.0","","","","","South","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
30,"Residential Land(Land and Building)","Commercial Area","05201","Akita Prefecture","Akita City","Omachi","Akita","18",12000000,"","65",,"Rectangular Shaped","4.2","90","1984","W","Shop","North","City Road",7.0,"Commercial District",80,400,"2nd quarter 2014",""
31,"Pre-owned Condominiums, etc.","","05201","Akita Prefecture","Akita City","Omachi","Akita","19",16000000,"3LDK","75",,"","","","1998","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
