"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","06201","Yamagata Prefecture","Yamagata City","Asahigaoka","Yamagata","30-60minutes",11000000,"","200",53000,"Rectangular Shaped","","","","","","North","City Road",5.0,"Category 2 Exclusive Low Rise Residential District",60,150,"2nd quarter 2014",""
2,"Residential Land(Land and Building)","Residential Area","06201","Yamagata Prefecture","Yamagata City","Azumacho","Yamagata","26",15000000,"","175",,"Semi-rectangular Shaped","","105","","W","House","South","City Road",7.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
3,"Residential Land(Land and Building)","Residential Area","06201","Yamagata Prefecture","Yamagata City","Aratatecho","Yamagata","30-60minutes",38000000,"","210",,"Semi-rectangular Shaped","","","2014","W","","North","Access Road",6.0,"Category 2 Exclusive Low Rise Residential District",60,150,"2nd quarter 2014",""
4,"Residential Land(Land Only)","Residential Area","06201","Yamagata Prefecture","Yamagata City","Isuzu","Kitayamagata","30-60minutes",12000000,"","420",29000,"Rectangular Shaped","","","","","","South","Private Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings including private road"
5,"Residential Land(Land Only)","Residential Area","06201","Yamagata Prefecture","Yamagata City","Oaza Imazuka","Uzenchitose","23",9000000,"","270",34000,"Irregular Shaped","9.5","","","","","South","Road",5.0,"Urbanization Control Area",70,200,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Residential Area","06201","Yamagata Prefecture","Yamagata City","Oaza Imazuka","Uzenchitose","27",12000000,"","1100",11000,"Semi-rectangular Shaped","30.3","","","","","East","City Road",3.5,"Urbanization Control Area",70,200,"2nd quarter 2014",""
7,"Residential Land(Land Only)","Residential Area","06201","Yamagata Prefecture","Yamagata City","Oaza Imazuka","Uzenchitose","24",10000000,"","290",34000,"Semi-rectangular Shaped","14.6","","","","","West","Road",4.0,"Urbanization Control Area",70,200,"2nd quarter 2014",""
8,"Residential Land(Land Only)","Residential Area","06201","Yamagata Prefecture","Yamagata City","In-yakumachi","Kitayamagata","30-60minutes",4700000,"","110",43000,"Rectangular Shaped","8.5","","","","","South","Road",3.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land and Building)","Residential Area","06201","Yamagata Prefecture","Yamagata City","Uwamachi","Yamagata","22",19000000,"","240",,"Rectangular Shaped","12.0","145","1976","W","House","North","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Residential Area","06201","Yamagata Prefecture","Yamagata City","Uwamachi","Yamagata","21",22000000,"","300",,"Rectangular Shaped","13.0","220","1979","W","House","North","City Road",10.0,"Category 2 Exclusive Low Rise Residential District",60,150,"2nd quarter 2014",""
