"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","08201","Ibaraki Prefecture","Mito City","Ishikawa","Akatsuka","15",3700000,"","175",21000,"Square Shaped","13.5","","","","","Northeast","City Road",3.3,"Category 1 Exclusive Low Rise Residential District",40,80,"2nd quarter 2014","Dealings in which auction or arbiter participates"
2,"Residential Land(Land and Building)","Residential Area","08201","Ibaraki Prefecture","Mito City","Ishikawa","Akatsuka","25",5400000,"","150",,"Rectangular Shaped","11.5","70","1983","W","Shop","Southwest","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
3,"Residential Land(Land Only)","Residential Area","08201","Ibaraki Prefecture","Mito City","Uchiharacho","Uchihara","23",10000000,"","570",17000,"Trapezoidal Shaped","31.0","","","","","Northeast","City Road",11.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
4,"Residential Land(Land and Building)","Residential Area","08201","Ibaraki Prefecture","Mito City","Otsukacho","Akatsuka","28",7500000,"","370",,"Semi-trapezoidal Shaped","20.0","55","","W","House","East","City Road",5.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
5,"Pre-owned Condominiums, etc.","","08201","Ibaraki Prefecture","Mito City","Omachi","Mito","18",7500000,"3LDK","65",,"","","","1982","SRC","House","","",,"Near Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
6,"Residential Land(Land Only)","Residential Area","08201","Ibaraki Prefecture","Mito City","Kasaharacho","Mito","1H-1H30",13000000,"","180",73000,"Rectangular Shaped","9.8","","","","","Northwest","City Road",4.5,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
7,"Residential Land(Land and Building)","Residential Area","08201","Ibaraki Prefecture","Mito City","Kasaharacho","Mito","30-60minutes",24000000,"","260",,"&quot;Flag-shaped&quot; etc.","","110","2013","W","House","Northeast","City Road",4.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
8,"Residential Land(Land Only)","Residential Area","08201","Ibaraki Prefecture","Mito City","Kamimito","Akatsuka","30-60minutes",7600000,"","175",44000,"Semi-rectangular Shaped","10.5","","","","","Southeast","Private Road",4.0,"Category 2 Residential District",60,150,"2nd quarter 2014",""
9,"Residential Land(Land and Building)","Residential Area","08201","Ibaraki Prefecture","Mito City","Kawawada","Akatsuka","16",18000000,"","250",,"Irregular Shaped","4.0","100","2014","W","House","Northeast","Road",2.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
10,"Residential Land(Land Only)","Potential Residential Area","08201","Ibaraki Prefecture","Mito City","Kawawadacho","Mito","30-60minutes",4200000,"","1100",3900,"Semi-shaped","30.7","","","","","Northwest","City Road",2.7,"Urbanization Control Area",60,200,"2nd quarter 2014",""
