"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","14101","Kanagawa Prefecture","Tsurumi Ward,Yokohama City","Asahicho","Tsurumi","26",75000000,"","270",280000,"Trapezoidal Shaped","11.0","","","","","West","City Road",6.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
2,"Pre-owned Condominiums, etc.","","14101","Kanagawa Prefecture","Tsurumi Ward,Yokohama City","Ichibakamicho","Tsurumiichiba","5",25000000,"3LDK","65",,"","","","1987","RC","House","","",,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
3,"Pre-owned Condominiums, etc.","","14101","Kanagawa Prefecture","Tsurumi Ward,Yokohama City","Ichibakamicho","Tsurumiichiba","5",25000000,"2LDK+S","65",,"","","","1995","RC","House","","",,"Semi-industrial District",60,200,"2nd quarter 2014",""
4,"Pre-owned Condominiums, etc.","","14101","Kanagawa Prefecture","Tsurumi Ward,Yokohama City","Ichibakamicho","Hatchonawate","6",25000000,"3LDK","75",,"","","","1986","RC","House","","",,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
5,"Residential Land(Land and Building)","Residential Area","14101","Kanagawa Prefecture","Tsurumi Ward,Yokohama City","Ichibanishinakacho","Tsurumiichiba","2",51000000,"","100",,"Semi-rectangular Shaped","7.0","100","2014","W","House","East","Private Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
6,"Residential Land(Land and Building)","Residential Area","14101","Kanagawa Prefecture","Tsurumi Ward,Yokohama City","Ichibanishinakacho","Tsurumiichiba","2",49000000,"","100",,"Semi-rectangular Shaped","6.6","100","2014","W","House","East","Private Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land and Building)","Residential Area","14101","Kanagawa Prefecture","Tsurumi Ward,Yokohama City","Ichibahigashinakacho","Tsurumiichiba","2",31000000,"","120",,"Semi-trapezoidal Shaped","11.3","115","1970","W","House","East","Private Road",2.7,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
8,"Pre-owned Condominiums, etc.","","14101","Kanagawa Prefecture","Tsurumi Ward,Yokohama City","Ichibafujimicho","Tsurumiichiba","4",22000000,"3LDK","55",,"","","","1996","RC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of redecorated real estate"
9,"Pre-owned Condominiums, etc.","","14101","Kanagawa Prefecture","Tsurumi Ward,Yokohama City","Ichibafujimicho","Tsurumiichiba","4",5300000,"1K","15",,"","","","1988","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
10,"Pre-owned Condominiums, etc.","","14101","Kanagawa Prefecture","Tsurumi Ward,Yokohama City","Ichibayamatocho","Tsurumiichiba","3",3800000,"1K","15",,"","","","1991","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
