"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Pre-owned Condominiums, etc.","","19201","Yamanashi Prefecture","Kofu City","Aonuma","Minamikofu","14",21000000,"4LDK","85",,"","","","2006","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014",""
2,"Residential Land(Land and Building)","Residential Area","19201","Yamanashi Prefecture","Kofu City","Aobacho","Minamikofu","16",12000000,"","350",,"Semi-rectangular Shaped","17.0","120","1980","W","House","North","Road",3.2,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
3,"Residential Land(Land and Building)","Residential Area","19201","Yamanashi Prefecture","Kofu City","Aobacho","Minamikofu","10",18000000,"","230",,"Rectangular Shaped","10.0","80","2006","W","House","East","City Road",6.5,"Semi-industrial District",60,200,"2nd quarter 2014",""
4,"Residential Land(Land Only)","Residential Area","19201","Yamanashi Prefecture","Kofu City","Asake","Minamikofu","18",20000000,"","460",43000,"Semi-rectangular Shaped","14.0","","","","","West","City Road",5.8,"Category 1 Residential District",60,200,"2nd quarter 2014",""
5,"Residential Land(Land and Building)","Commercial Area","19201","Yamanashi Prefecture","Kofu City","Asahi","Kofu","7",9000000,"","85",,"Rectangular Shaped","6.0","120","1976","W","House","West","City Road",3.5,"Commercial District",80,400,"2nd quarter 2014",""
6,"Pre-owned Condominiums, etc.","","19201","Yamanashi Prefecture","Kofu City","Asahi","Kofu","2",800000,"1K","15",,"","","","1988","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
7,"Residential Land(Land Only)","Commercial Area","19201","Yamanashi Prefecture","Kofu City","Iida","Kofu","20",55000000,"","1300",42000,"Semi-shaped","39.0","","","","","North","Prefectural Road",11.9,"Category 1 Residential District",60,200,"2nd quarter 2014",""
8,"Residential Land(Land Only)","Commercial Area","19201","Yamanashi Prefecture","Kofu City","Ise","Kaisumiyoshi","10",22000000,"","410",54000,"Rectangular Shaped","26.0","","","","","East","Prefectural Road",15.5,"Semi-residential District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land Only)","Residential Area","19201","Yamanashi Prefecture","Kofu City","Ise","Kofu","26",1700000,"","170",10000,"Semi-square Shaped","13.0","","","","","North","Road",1.9,"Commercial District",80,400,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Residential Area","19201","Yamanashi Prefecture","Kofu City","Ise","Kofu","30-60minutes",8200000,"","190",,"Semi-rectangular Shaped","11.0","80","1967","W","House","Northwest","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
