"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Commercial Area","20201","Nagano Prefecture","Nagano City","Aokijima","Nagano (JR)","30-60minutes",170000000,"","2,000 m^2 or greater.",74000,"Semi-rectangular Shaped","32.0","","","","","Southeast","National Highway",24.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
2,"Residential Land(Land and Building)","Commercial Area","20201","Nagano Prefecture","Nagano City","Oaza Akanuma","Toyono","19",5000000,"","330",,"Semi-trapezoidal Shaped","23.5","105","1996","","","Southeast","National Highway",19.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
3,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Ageya","Nagano (JR)","2H-",34000000,"","2,000 m^2 or greater.",6000,"Semi-trapezoidal Shaped","","","","","","No facing road","",,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",40,80,"2nd quarter 2014",""
4,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Ageya","Nagano (JR)","2H-",20000000,"","2,000 m^2 or greater.",,"Semi-shaped","50.0m or longer.","960","1979","RC, W","Other","West","City Road",5.5,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",40,80,"2nd quarter 2014",""
5,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Asakawa","Shinanoyoshida","30-60minutes",9000000,"","185",,"Semi-rectangular Shaped","15.0","145","1981","W","House","East","City Road",4.5,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
6,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Amorikoichi","Amori","29",5300000,"","55",,"Semi-shaped","5.0","75","1989","W","House","Northeast","Prefectural Road",4.6,"Category 1 Residential District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Inasato","Kawanakajima","23",16000000,"","510",30000,"Rectangular Shaped","20.0","","","","","North","City Road",5.3,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
8,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Inasatomachichuo","Kawanakajima","30-60minutes",14000000,"","200",72000,"Semi-rectangular Shaped","","","","","","Southeast","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Inada","Shinanoyoshida","18",16000000,"","380",42000,"Irregular Shaped","15.0","","","","","East","City Road",5.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Inada","Shinanoyoshida","16",35000000,"","170",,"Semi-shaped","14.0","","","","","West","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
