"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Akishinocho","Ayameike","18",24000000,"","180",,"&quot;Flag-shaped&quot; etc.","2.5","105","2013","W","House","Northwest","City Road",7.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
2,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Asahicho","Gakuenmae (Nara)","30-60minutes",7400000,"","135",,"Semi-rectangular Shaped","13.9","75","1980","W","House","South","Private Road",3.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014","Dealings in which auction or arbiter participates, Dealings including private road"
3,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Amagatsujikitamachi","Yamatosaidaiji","18",56000000,"","310",,"Irregular Shaped","","","","","","North","City Road",7.2,"Category 1 Residential District",60,200,"2nd quarter 2014",""
4,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Ayameikeminami","Ayameike","11",12000000,"","200",,"Irregular Shaped","10.8","80","1970","W","House","Northwest","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014","Dealings in which auction or arbiter participates"
5,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Ayameikeminami","Ayameike","4",25000000,"3LDK","70",,"","","","2007","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
6,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Ayameikeminami","Ayameike","3",6500000,"3LDK","65",,"","","","1981","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
7,"Residential Land(Land and Building)","Commercial Area","29201","Nara Prefecture","Nara City","Omiyacho","Shinomiya","6",180000000,"","390",,"Semi-rectangular Shaped","23.1","1200","1980","RC","Housing Complex, Shop","South","City Road",6.0,"Commercial District",80,400,"2nd quarter 2014",""
8,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Omiyacho","Nara","6",10000000,"2LDK","60",,"","","","1980","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of redecorated real estate"
9,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Omoricho","Nara","12",36000000,"","140",,"Rectangular Shaped","7.6","","","","","South","Access Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Oshikumacho","Narayama","25",26000000,"","175",,"Semi-rectangular Shaped","12.0","105","2006","W","House","West","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
11,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Gakuen-asahicho","Gakuenmae (Nara)","9",27000000,"","135",,"&quot;Flag-shaped&quot; etc.","3.0","95","2014","W","House","South","Private Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
12,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Gakuen-asahicho","Gakuenmae (Nara)","8",24000000,"3LDK","70",,"","","","2003","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
