"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","30201","Wakayama Prefecture","Wakayama City","Akizuki","Nichizengu","6",7500000,"","110",67000,"Trapezoidal Shaped","12.5","","","","","South","Prefectural Road",6.8,"Category 2 Residential District",60,200,"2nd quarter 2014",""
2,"Residential Land(Land Only)","Residential Area","30201","Wakayama Prefecture","Wakayama City","Arie","Nichizengu","10",12000000,"","140",86000,"Rectangular Shaped","10.6","","","","","South","Private Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
3,"Residential Land(Land Only)","Residential Area","30201","Wakayama Prefecture","Wakayama City","Aridayamachi","Wakayamashi","14",4500000,"","40",120000,"Semi-shaped","","","","","","West","City Road",8.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
4,"Residential Land(Land and Building)","Residential Area","30201","Wakayama Prefecture","Wakayama City","Arimoto","Kiinakanoshima","21",20000000,"","105",,"Semi-rectangular Shaped","8.0","100","2014","W","House","South","Private Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
5,"Residential Land(Land and Building)","Residential Area","30201","Wakayama Prefecture","Wakayama City","Ichishoji","Kinokawa","6",3000000,"","65",,"Semi-rectangular Shaped","4.7","55","1969","W","House","Northwest","Private Road",3.3,"Category 1 Residential District",60,200,"2nd quarter 2014",""
6,"Pre-owned Condominiums, etc.","","30201","Wakayama Prefecture","Wakayama City","Ichishoji","Kinokawa","0",5000000,"3LDK","55",,"","","","1995","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
7,"Residential Land(Land and Building)","Residential Area","30201","Wakayama Prefecture","Wakayama City","Ido","Okazakimae","4",20000000,"","135",,"Rectangular Shaped","7.9","95","2014","W","House","West","Private Road",6.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
8,"Residential Land(Land and Building)","Residential Area","30201","Wakayama Prefecture","Wakayama City","Iwase","Tainose","20",12000000,"","560",,"Semi-trapezoidal Shaped","21.0","210","1982","RC","House","North","City Road",5.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
9,"Residential Land(Land and Building)","Residential Area","30201","Wakayama Prefecture","Wakayama City","Iwase","Tainose","20",1700000,"","130",,"Semi-shaped","8.0","","","","","No facing road","",,"Urbanization Control Area",60,200,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Residential Area","30201","Wakayama Prefecture","Wakayama City","Iwase","Tainose","20",22000000,"","170",,"Semi-shaped","11.3","95","2012","W","House","West","Road",6.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
