"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Aoicho","Bizenmikado","2",4900000,"","75",67000,"Semi-rectangular Shaped","7.0","","","","","East","City Road",13.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
2,"Residential Land(Land Only)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Ichinomiya","Bizen-ichinomiya","11",13000000,"","195",67000,"Semi-square Shaped","14.0","","","","","Northeast","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
3,"Residential Land(Land and Building)","Commercial Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Ifukucho","Okayama","15",34000000,"","170",,"Irregular Shaped","21.0","310","1984","RC","Housing Complex, Shop","Southeast","National Highway",22.0,"Near Commercial District",80,200,"2nd quarter 2014",""
4,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Ifukucho","Okayama","15",3300000,"","55",,"Semi-rectangular Shaped","8.0","70","1955","W","House","North","City Road",,"Category 2 Residential District",60,200,"2nd quarter 2014",""
5,"Residential Land(Land Only)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Ima","Bizennishiichi","14",21000000,"","190",110000,"Rectangular Shaped","12.0","","","","","East","Village Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
6,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Imaoka","Bizen-ichinomiya","25",7000000,"","170",,"Semi-rectangular Shaped","10.0","85","1988","W","House","Northeast","City Road",6.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
7,"Residential Land(Land Only)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Imabo","Niwase","30-60minutes",6000000,"","150",41000,"Semi-square Shaped","12.0","","","","","South","City Road",2.8,"Category 1 Residential District",60,200,"2nd quarter 2014",""
8,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Imamura","Bizennishiichi","15",22000000,"","330",,"Rectangular Shaped","14.0","90","1978","W","Office","South","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land and Building)","Commercial Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Ekimaecho","Okayama","8",5600000,"","135",,"Rectangular Shaped","6.0","125","2004","RC","House","South","City Road",6.0,"Commercial District",80,400,"2nd quarter 2014",""
10,"Residential Land(Land Only)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Ekimotomachi","Okayama","5",4700000,"","45",110000,"Semi-rectangular Shaped","5.0","","","","","North","Private Road",2.5,"Commercial District",80,400,"2nd quarter 2014",""
11,"Forest Land","","33101","Okayama Prefecture","Kita Ward,Okayama City","Oi","","",800000,"","2500",,"","","","","","","","",,"",,,"2nd quarter 2014",""
12,"Forest Land","","33101","Okayama Prefecture","Kita Ward,Okayama City","Ozaki","","",2200000,"","4200",,"","","","","","","","",,"",,,"2nd quarter 2014",""
13,"Pre-owned Condominiums, etc.","","33101","Okayama Prefecture","Kita Ward,Okayama City","Omotoekimae","Omoto","4",9800000,"3LDK","60",,"","","","1987","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
14,"Pre-owned Condominiums, etc.","","33101","Okayama Prefecture","Kita Ward,Okayama City","Okuda","Okayama","30-60minutes",7500000,"3LDK","65",,"","","","1989","RC","House","","",,"Near Commercial District",80,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
15,"Residential Land(Land Only)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Okudanishimachi","Omoto","14",2400000,"","35",69000,"Rectangular Shaped","3.7","","","","","North","City Road",4.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
16,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Onoue","Bizen-ichinomiya","19",5700000,"","390",,"Semi-trapezoidal Shaped","19.0","70","1966","W","House","East","Prefectural Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
17,"Residential Land(Land Only)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Ofunairicho","Omoto","30-60minutes",41000000,"","710",57000,"Semi-shaped","","","","","","Northwest","City Road",6.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
18,"Residential Land(Land Only)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Gakunancho","Okayama","25",60000000,"","600",100000,"Rectangular Shaped","26.0","","","","","East","Road",,"Category 2 Residential District",60,200,"2nd quarter 2014",""
19,"Pre-owned Condominiums, etc.","","33101","Okayama Prefecture","Kita Ward,Okayama City","Kaminakano","Omoto","18",20000000,"3LDK","65",,"","","","2008","RC","House","","",,"Category 2 Exclusive Mid-high Rise Residential District",50,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
20,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Kamo","Bitchutakamatsu","16",12000000,"","195",,"Trapezoidal Shaped","14.0","100","1971","W","House","Northeast","City Road",4.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
21,"Agricultural Land","","33101","Okayama Prefecture","Kita Ward,Okayama City","Kamo","","",1900000,"","3100",,"","","","","","","","",,"",,,"2nd quarter 2014",""
22,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Karakawaichiba","Bizen-ichinomiya","16",48000000,"","280",,"Semi-trapezoidal Shaped","9.0","135","2014","LS","House","Northwest","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
23,"Residential Land(Land Only)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Karakawaichiba","Bizen-ichinomiya","21",14000000,"","290",48000,"Semi-trapezoidal Shaped","21.0","","","","","Southwest","Prefectural Road",9.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
24,"Residential Land(Land Only)","Potential Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Karakawaichiba","Bizen-ichinomiya","17",8800000,"","410",21000,"Semi-rectangular Shaped","14.0","","","","","Northwest","City Road",5.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
25,"Residential Land(Land and Building)","Residential Area","33101","Okayama Prefecture","Kita Ward,Okayama City","Kawairi","Kibitsu","29",24000000,"","210",,"Semi-trapezoidal Shaped","13.3","110","2008","W","House","West","City Road",5.0,"Urbanization Control Area",,,"2nd quarter 2014",""
