"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Pre-owned Condominiums, etc.","","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Enomachi","Hiroshima","30-60minutes",14000000,"2LDK","50",,"","","","1988","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of redecorated real estate"
2,"Residential Land(Land and Building)","Residential Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Ebanihommatsu","Hiroshima","1H-1H30",7000000,"","95",,"Semi-rectangular Shaped","6.0","70","","W","House","West","Private Road",1.5,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
3,"Residential Land(Land and Building)","Residential Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Ebahigashi","Hiroshima","1H-1H30",29000000,"","100",,"Rectangular Shaped","9.0","95","2014","W","House","Southwest","Private Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
4,"Residential Land(Land and Building)","Residential Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Ebahigashi","Hiroshima","1H-1H30",30000000,"","100",,"Rectangular Shaped","9.0","95","2014","W","House","Southwest","Private Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
5,"Residential Land(Land and Building)","Residential Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Ebaminami","Hiroshima","1H-1H30",37000000,"","170",,"Semi-rectangular Shaped","4.5","135","","","","Southeast","City Road",30.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
6,"Pre-owned Condominiums, etc.","","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Otemachi","Hiroshima","30-60minutes",35000000,"3LDK","80",,"","","","2008","RC","House","","",,"Commercial District",80,300,"2nd quarter 2014",""
7,"Residential Land(Land Only)","Commercial Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Kaminoboricho","Hiroshima","14",280000000,"","350",800000,"Rectangular Shaped","14.8","","","","","West","City Road",30.0,"Commercial District",80,600,"2nd quarter 2014",""
8,"Residential Land(Land and Building)","Residential Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Konan","Hiroshima","1H-1H30",34000000,"","120",,"Semi-rectangular Shaped","8.0","110","2014","W","House","North","Private Road",4.0,"Industrial District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land and Building)","Residential Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Konan","Hiroshima","1H-1H30",35000000,"","120",,"Semi-rectangular Shaped","8.0","110","2014","W","House","South","Private Road",4.0,"Industrial District",60,200,"2nd quarter 2014",""
10,"Residential Land(Land Only)","Commercial Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Tookaichimachi","Hiroshima","30-60minutes",44000000,"","160",280000,"Semi-rectangular Shaped","6.0","","","","","South","City Road",8.0,"Commercial District",80,400,"2nd quarter 2014",""
11,"Pre-owned Condominiums, etc.","","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Dohashicho","Hiroshima","30-60minutes",2000000,"1K","15",,"","","","1983","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
12,"Pre-owned Condominiums, etc.","","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Dohashicho","Hiroshima","30-60minutes",7700000,"2DK","45",,"","","","1984","SRC","House","","",,"Commercial District",80,600,"2nd quarter 2014","Dealings of non-redecorating real estate"
13,"Residential Land(Land Only)","Residential Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Nishikawaguchicho","Hiroshima","30-60minutes",35000000,"","170",210000,"Semi-rectangular Shaped","9.0","","","","","Northwest","City Road",5.5,"Category 2 Residential District",60,300,"2nd quarter 2014",""
14,"Residential Land(Land and Building)","Commercial Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Nishihiratsukacho","Hiroshima","15",34000000,"","110",,"Semi-square Shaped","7.8","390","1966","S","House, Warehouse","Southeast","City Road",8.0,"Commercial District",80,500,"2nd quarter 2014",""
15,"Pre-owned Condominiums, etc.","","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Hakushimakukencho","Hiroshima","24",24000000,"3LDK","65",,"","","","2000","SRC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
16,"Residential Land(Land and Building)","Residential Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Hakushimanakamachi","Hiroshima","21",120000000,"","180",,"Semi-shaped","10.5","340","1988","RC","Housing Complex","West","City Road",8.0,"Category 2 Residential District",60,300,"2nd quarter 2014",""
17,"Residential Land(Land and Building)","Residential Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Hagoromocho","Hiroshima","30-60minutes",6000000,"","75",,"&quot;Flag-shaped&quot; etc.","2.3","70","1987","W","House","Northeast","City Road",6.0,"Category 2 Residential District",60,300,"2nd quarter 2014",""
18,"Residential Land(Land and Building)","Commercial Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Hashimotocho","Hiroshima","10",60000000,"","115",,"Rectangular Shaped","7.0","420","1989","RC","Housing Complex, Office","Northeast","City Road",8.0,"Commercial District",80,400,"2nd quarter 2014",""
19,"Residential Land(Land and Building)","Residential Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Funairikawaguchicho","Hiroshima","30-60minutes",34000000,"","95",,"Rectangular Shaped","5.7","100","2013","W","House","Northwest","City Road",10.0,"Industrial District",60,200,"2nd quarter 2014",""
20,"Residential Land(Land Only)","Residential Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Funairisaiwaicho","Hiroshima","30-60minutes",18000000,"","110",160000,"&quot;Flag-shaped&quot; etc.","3.0","","","","","Northeast","City Road",6.0,"Category 2 Residential District",60,300,"2nd quarter 2014",""
21,"Residential Land(Land and Building)","Residential Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Funairisaiwaicho","Hiroshima","30-60minutes",82000000,"","390",,"Rectangular Shaped","22.0","100","1991","W","Office","Southwest","City Road",6.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
22,"Residential Land(Land and Building)","Residential Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Funairiminami","Hiroshima","1H-1H30",42000000,"","105",,"Rectangular Shaped","8.0","120","2014","W","House","Northwest","City Road",8.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
23,"Residential Land(Land and Building)","Residential Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Funairiminami","Hiroshima","1H-1H30",35000000,"","105",,"Rectangular Shaped","8.0","110","2013","W","House","Southeast","City Road",5.5,"Category 2 Residential District",60,200,"2nd quarter 2014",""
24,"Residential Land(Land and Building)","Residential Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Yoshijimanishi","Hiroshima","30-60minutes",45000000,"","280",,"&quot;Flag-shaped&quot; etc.","","115","2014","W","House","South","City Road",3.2,"Category 2 Residential District",60,200,"2nd quarter 2014",""
25,"Residential Land(Land and Building)","Residential Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Yoshijimanishi","Hiroshima","30-60minutes",11000000,"","80",,"Rectangular Shaped","5.0","55","1963","W","House","South","City Road",4.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
26,"Pre-owned Condominiums, etc.","","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Yoshijimanishi","Hiroshima","30-60minutes",27000000,"3LDK","75",,"","","","2007","RC","House","","",,"Industrial District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
27,"Residential Land(Land and Building)","Residential Area","34101","Hiroshima Prefecture","Naka Ward,Hiroshima City","Yoshijimahigashi","Hiroshima","30-60minutes",42000000,"","105",,"Semi-trapezoidal Shaped","5.9","100","2014","W","House","North","City Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
28,"Residential Land(Land and Building)","Residential Area","34102","Hiroshima Prefecture","Higashi Ward,Hiroshima City","Ushitahommachi","Hiroshima","30-60minutes",40000000,"","70",,"Semi-square Shaped","7.3","115","2014","W","House","Southwest","City Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
29,"Residential Land(Land and Building)","Residential Area","34102","Hiroshima Prefecture","Higashi Ward,Hiroshima City","Ushitahommachi","Hiroshima","30-60minutes",40000000,"","65",,"Semi-rectangular Shaped","6.9","115","2014","W","House","Southeast","City Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
30,"Residential Land(Land Only)","Residential Area","34102","Hiroshima Prefecture","Higashi Ward,Hiroshima City","Ushitahommachi","Hiroshima","19",26000000,"","140",190000,"&quot;Flag-shaped&quot; etc.","3.0","","","","","Southwest","Private Road",3.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
31,"Residential Land(Land and Building)","Residential Area","34102","Hiroshima Prefecture","Higashi Ward,Hiroshima City","Ushitaminami","Hiroshima","24",31000000,"","155",,"Semi-rectangular Shaped","13.0","110","2006","W","House","Northeast","City Road",2.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
