"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land and Building)","Residential Area","38201","Ehime Prefecture","Matsuyama City","Aikocho","Komachi","7",5000000,"","100",,"Irregular Shaped","5.0","55","1987","W","House","East","Private Road",2.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
2,"Residential Land(Land Only)","Residential Area","38201","Ehime Prefecture","Matsuyama City","Aikocho","Miyatacho","7",24000000,"","170",140000,"Semi-rectangular Shaped","7.9","","","","","South","City Road",5.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
3,"Pre-owned Condominiums, etc.","","38201","Ehime Prefecture","Matsuyama City","Aizumachi","Mitsuhama","0",20000000,"3LDK","80",,"","","","","SRC","House","","",,"",,,"2nd quarter 2014","Dealings of non-redecorating real estate"
4,"Residential Land(Land Only)","Residential Area","38201","Ehime Prefecture","Matsuyama City","Aobadai","Mitsuhama","19",17000000,"","170",100000,"Semi-square Shaped","13.3","","","","","Southeast","City Road",5.0,"Urbanization Control Area",70,200,"2nd quarter 2014",""
5,"Residential Land(Land Only)","Residential Area","38201","Ehime Prefecture","Matsuyama City","Asanamihara","Asanami","12",500000,"","600",840,"Irregular Shaped","38.8","","","","","North","City Road",4.2,"Outside Urban Planning Area",,,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Residential Area","38201","Ehime Prefecture","Matsuyama City","Asanamihara","Asanami","5",200000,"","240",830,"Semi-rectangular Shaped","11.5","","","","","East","Road",1.2,"Outside Urban Planning Area",,,"2nd quarter 2014",""
7,"Pre-owned Condominiums, etc.","","38201","Ehime Prefecture","Matsuyama City","Asodamachi","Iyotachibana","10",16000000,"4LDK","80",,"","","","2001","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
8,"Residential Land(Land and Building)","Residential Area","38201","Ehime Prefecture","Matsuyama City","Amayama","Iyotachibana","14",15000000,"","135",,"Semi-rectangular Shaped","8.3","65","1969","W","House","North","City Road",4.6,"Semi-industrial District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land and Building)","Residential Area","38201","Ehime Prefecture","Matsuyama City","Awaikawara","Awai","12",20000000,"","155",,"Semi-rectangular Shaped","9.6","110","2013","W","House","Northeast","City Road",5.2,"Category 1 Residential District",60,200,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Residential Area","38201","Ehime Prefecture","Matsuyama City","Awaikawara","Awai","12",24000000,"","165",,"Semi-rectangular Shaped","9.8","110","2014","W","House","Southwest","City Road",5.2,"Category 1 Residential District",60,200,"2nd quarter 2014",""
11,"Residential Land(Land and Building)","Residential Area","38201","Ehime Prefecture","Matsuyama City","Anjojimachi","Mitsuhama","30-60minutes",15000000,"","145",,"Irregular Shaped","18.1","120","2010","W","House","West","City Road",4.3,"Category 1 Residential District",60,200,"2nd quarter 2014",""
12,"Residential Land(Land and Building)","Residential Area","38201","Ehime Prefecture","Matsuyama City","Iai","Ichitsubo","29",35000000,"","310",,"Semi-rectangular Shaped","12.0","130","2000","S","House","West","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
13,"Pre-owned Condominiums, etc.","","38201","Ehime Prefecture","Matsuyama City","Iai","Iyotachibana","30-60minutes",14000000,"3LDK","65",,"","","","2007","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
14,"Pre-owned Condominiums, etc.","","38201","Ehime Prefecture","Matsuyama City","Ichibancho","Okaido","4",4500000,"1K","15",,"","","","1991","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
15,"Residential Land(Land and Building)","Commercial Area","38201","Ehime Prefecture","Matsuyama City","Ichibancho","Katsuyamacho","3",24000000,"","40",,"Rectangular Shaped","4.5","145","1983","S","House, Office, Shop","South","City Road",6.0,"Commercial District",80,400,"2nd quarter 2014",""
16,"Residential Land(Land and Building)","Commercial Area","38201","Ehime Prefecture","Matsuyama City","Izumiminami","Ichitsubo","19",50000000,"","330",,"Semi-rectangular Shaped","19.5","95","1979","W","Shop","East","Prefectural Road",10.0,"Near Commercial District",80,200,"2nd quarter 2014",""
17,"Residential Land(Land Only)","Commercial Area","38201","Ehime Prefecture","Matsuyama City","Izumiminami","Iyotachibana","23",170000000,"","1100",160000,"Semi-shaped","14.0","","","","","East","City Road",20.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
18,"Residential Land(Land and Building)","Residential Area","38201","Ehime Prefecture","Matsuyama City","Iwaidanihigashimachi","Dogoonsen","16",11000000,"","150",,"Semi-rectangular Shaped","11.0","110","1978","LS","House","South","Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
19,"Residential Land(Land Only)","Residential Area","38201","Ehime Prefecture","Matsuyama City","Iwasakimachi","Dogokoen","8",24000000,"","160",150000,"Semi-rectangular Shaped","8.8","","","","","North","City Road",4.2,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
20,"Residential Land(Land Only)","Residential Area","38201","Ehime Prefecture","Matsuyama City","Iwasakimachi","Dogokoen","8",43000000,"","210",200000,"Semi-rectangular Shaped","12.0","","","","","East","Private Road",5.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
21,"Pre-owned Condominiums, etc.","","38201","Ehime Prefecture","Matsuyama City","Iwasakimachi","Dogokoen","2",16000000,"2LDK","55",,"","","","1995","SRC","House","","",,"Commercial District",80,500,"2nd quarter 2014","Dealings of redecorated real estate"
22,"Pre-owned Condominiums, etc.","","38201","Ehime Prefecture","Matsuyama City","Iwasakimachi","Dogokoen","2",13000000,"2LDK","60",,"","","","1995","SRC","House","","",,"Commercial District",80,500,"2nd quarter 2014","Dealings of non-redecorating real estate"
23,"Residential Land(Land Only)","Residential Area","38201","Ehime Prefecture","Matsuyama City","Umakicho","Iyowake","14",14000000,"","160",85000,"Rectangular Shaped","10.0","","","","","East","City Road",7.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
24,"Residential Land(Land and Building)","Residential Area","38201","Ehime Prefecture","Matsuyama City","Uwama","","",8000000,"","480",,"Irregular Shaped","16.3","470","1972","RC","House, Other","North","Prefectural Road",8.2,"Outside Urban Planning Area",,,"2nd quarter 2014",""
25,"Residential Land(Land and Building)","Commercial Area","38201","Ehime Prefecture","Matsuyama City","Eidaimachi","Matsuyamashiekimae","3",12000000,"","60",,"Semi-trapezoidal Shaped","7.2","120","1974","W","House","Southwest","City Road",4.5,"Near Commercial District",80,300,"2nd quarter 2014",""
