"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","40101","Fukuoka Prefecture","Moji Ward,Kitakyushu City","Oaza Ikawa","Moji","1H-1H30",6000000,"","490",12000,"Irregular Shaped","35.0","","","","","Northeast","Village Road",4.5,"Urbanization Control Area",70,200,"2nd quarter 2014",""
2,"Pre-owned Condominiums, etc.","","40101","Fukuoka Prefecture","Moji Ward,Kitakyushu City","Inazumi","Moji","25",22000000,"4LDK","85",,"","","","","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
3,"Residential Land(Land and Building)","Residential Area","40101","Fukuoka Prefecture","Moji Ward,Kitakyushu City","Kishi","Moji","1H30-2H",14000000,"","300",,"Irregular Shaped","12.0","105","1992","W","House","West","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
4,"Residential Land(Land and Building)","Residential Area","40101","Fukuoka Prefecture","Moji Ward,Kitakyushu City","Kishi","Moji","1H30-2H",7000000,"","250",,"Irregular Shaped","","105","1989","W","House","Northwest","City Road",3.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
5,"Residential Land(Land and Building)","Residential Area","40101","Fukuoka Prefecture","Moji Ward,Kitakyushu City","Kishishimmachi","Moji","1H-1H30",31000000,"","220",,"Semi-rectangular Shaped","12.5","130","2013","LS","House","Southeast","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Residential Area","40101","Fukuoka Prefecture","Moji Ward,Kitakyushu City","Kiyomi","Mojiko","26",7800000,"","195",40000,"Rectangular Shaped","11.4","","","","","South","City Road",5.5,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land Only)","Residential Area","40101","Fukuoka Prefecture","Moji Ward,Kitakyushu City","Kiyomi","Mojiko","26",7800000,"","195",40000,"Rectangular Shaped","11.0","","","","","South","City Road",5.5,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
8,"Residential Land(Land and Building)","Residential Area","40101","Fukuoka Prefecture","Moji Ward,Kitakyushu City","Komorie","Komorie","11",27000000,"","160",,"Rectangular Shaped","14.0","110","2014","W","House","West","Private Road",4.0,"Industrial District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land and Building)","Commercial Area","40101","Fukuoka Prefecture","Moji Ward,Kitakyushu City","Sakaemachi","Mojiko","5",4000000,"","55",,"Rectangular Shaped","5.5","85","","W","House, Shop","Southeast","City Road",8.0,"Commercial District",80,400,"2nd quarter 2014",""
10,"Residential Land(Land Only)","Residential Area","40101","Fukuoka Prefecture","Moji Ward,Kitakyushu City","Jinai","Moji","21",11000000,"","330",33000,"Semi-rectangular Shaped","12.3","","","","","Northwest","City Road",70.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
