"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","46201","Kagoshima Prefecture","Kagoshima City","Arata","Kagoshimachuo","15",170000000,"","710",240000,"Rectangular Shaped","26.0","","","","","Northwest","City Road",8.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
2,"Residential Land(Land and Building)","Residential Area","46201","Kagoshima Prefecture","Kagoshima City","Ishiki","Kagoshimachuo","30-60minutes",9700000,"","150",,"Irregular Shaped","2.0","110","1992","LS","House","Southeast","City Road",4.5,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
3,"Residential Land(Land and Building)","Residential Area","46201","Kagoshima Prefecture","Kagoshima City","Ishikidai","Kagoshimachuo","1H-1H30",26000000,"","200",,"Rectangular Shaped","12.0","110","1992","W","House","Southeast","City Road",7.5,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
4,"Residential Land(Land Only)","Residential Area","46201","Kagoshima Prefecture","Kagoshima City","Ishikidai","Kagoshimachuo","1H-1H30",35000000,"","330",110000,"Rectangular Shaped","23.0","","","","","Southeast","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
5,"Residential Land(Land and Building)","Residential Area","46201","Kagoshima Prefecture","Kagoshima City","Ishidanicho","Kamiijuin","30-60minutes",1000000,"","165",,"Semi-rectangular Shaped","8.0","60","1979","W","House","Southwest","Road",4.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",60,200,"2nd quarter 2014",""
6,"Agricultural Land","","46201","Kagoshima Prefecture","Kagoshima City","Ishidanicho","","",10000,"","1100",,"","","","","","","","",,"",,,"2nd quarter 2014",""
7,"Residential Land(Land Only)","Commercial Area","46201","Kagoshima Prefecture","Kagoshima City","Izumicho","Kagoshima","14",15000000,"","100",150000,"Semi-rectangular Shaped","7.5","","","","","East","City Road",6.5,"Commercial District",80,400,"2nd quarter 2014",""
8,"Residential Land(Land and Building)","Residential Area","46201","Kagoshima Prefecture","Kagoshima City","Inaricho","Kagoshima","19",15000000,"","175",,"Semi-shaped","13.5","90","1962","W","House","East","City Road",4.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
9,"Forest Land","","46201","Kagoshima Prefecture","Kagoshima City","Inuzakocho","","",14000000,"","4300",,"","","","","","","","",,"",,,"2nd quarter 2014",""
10,"Forest Land","","46201","Kagoshima Prefecture","Kagoshima City","Inuzakocho","","",1500000,"","350",,"","","","","","","","",,"",,,"2nd quarter 2014",""
