"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Akanabetatsushin","Gifu","30-60minutes",23000000,"","260",,"Semi-rectangular Shaped","12.0","210","1989","S","","Southeast","City Road",4.2,"Semi-industrial District",60,200,"2nd quarter 2014",""
2,"Residential Land(Land Only)","Residential Area","21201","Gifu Prefecture","Gifu City","Akanabenakajima","Gifu","28",13000000,"","320",39000,"Semi-rectangular Shaped","11.7","","","","","South","Road",4.5,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
3,"Pre-owned Condominiums, etc.","","21201","Gifu Prefecture","Gifu City","Akanabehishino","Gifu","30-60minutes",8500000,"3LDK","70",,"","","","1995","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates, Dealings of non-redecorating real estate"
4,"Pre-owned Condominiums, etc.","","21201","Gifu Prefecture","Gifu City","Akanabehishino","Gifu","30-60minutes",31000000,"4LDK","85",,"","","","2013","RC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
5,"Residential Land(Land Only)","Residential Area","21201","Gifu Prefecture","Gifu City","Akutamidaihannya","Gifu","2H-",12000000,"","990",12000,"Semi-rectangular Shaped","23.0","","","","","South","City Road",6.7,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Residential Area","21201","Gifu Prefecture","Gifu City","Amaike","Gifu","1H-1H30",3600000,"","120",30000,"Semi-square Shaped","10.5","","","","","North","Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Awanonishi","Gifu","1H30-2H",1500000,"","220",,"Rectangular Shaped","11.0","120","1994","W","House","East","City Road",6.8,"Semi-residential District",60,200,"2nd quarter 2014",""
8,"Residential Land(Land Only)","Residential Area","21201","Gifu Prefecture","Gifu City","Awanonishi","Gifu","2H-",4500000,"","240",19000,"Semi-trapezoidal Shaped","10.0","","","","","North","City Road",5.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
9,"Residential Land(Land Only)","Residential Area","21201","Gifu Prefecture","Gifu City","Awanonishi","Gifu","1H30-2H",10000000,"","200",51000,"Semi-rectangular Shaped","6.7","","","","","West","Private Road",4.5,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Awanonishi","Gifu","1H30-2H",27000000,"","170",,"Rectangular Shaped","16.5","120","2013","W","House","West","Private Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
11,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Awanohigashi","Gifu","1H30-2H",14000000,"","130",,"Rectangular Shaped","10.3","105","1980","W","House","East","City Road",7.5,"Semi-residential District",60,200,"2nd quarter 2014",""
12,"Residential Land(Land Only)","Residential Area","21201","Gifu Prefecture","Gifu City","Awanohigashi","Gifu","1H30-2H",18000000,"","280",64000,"Semi-rectangular Shaped","","","","","","South","Private Road",4.5,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
13,"Residential Land(Land Only)","Residential Area","21201","Gifu Prefecture","Gifu City","Ishigai","Gifu","1H30-2H",1000000,"","115",8800,"Semi-rectangular Shaped","8.0","","","","","Southwest","City Road",6.0,"Urbanization Control Area",60,100,"2nd quarter 2014",""
14,"Forest Land","","21201","Gifu Prefecture","Gifu City","Ishigai","","",1400000,"","1000",,"","","","","","","","",,"",,,"2nd quarter 2014",""
15,"Forest Land","","21201","Gifu Prefecture","Gifu City","Ishigai","","",4500000,"","4400",,"","","","","","","","",,"",,,"2nd quarter 2014",""
16,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Ishihara","Gifu","2H-",11000000,"","250",,"Trapezoidal Shaped","17.0","125","1991","W","House","North","City Road",5.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
17,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Ichihashi","Nishigifu","8",15000000,"","175",,"Semi-rectangular Shaped","12.8","105","1983","W","House, Office","South","City Road",11.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
18,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Imamine","Nishigifu","20",20000000,"","150",,"Irregular Shaped","17.0","105","2014","W","House","North","City Road",6.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
19,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Iwakuracho","Gifu","30-60minutes",3800000,"","65",,"Rectangular Shaped","6.5","20","1981","LS","Other","North","City Road",7.8,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
20,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Iwatahigashi","Gifu","1H30-2H",26000000,"","260",,"Rectangular Shaped","15.0","115","2014","W","House","Northeast","City Road",8.9,"Urbanization Control Area",60,200,"2nd quarter 2014",""
21,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Iwachi","Gifu","1H-1H30",12000000,"","240",,"Semi-rectangular Shaped","7.5","145","1990","W","House","North","City Road",4.5,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
22,"Residential Land(Land Only)","Residential Area","21201","Gifu Prefecture","Gifu City","Iwachi","Gifu","1H-1H30",9000000,"","410",22000,"Semi-rectangular Shaped","18.0","","","","","West","City Road",11.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
23,"Pre-owned Condominiums, etc.","","21201","Gifu Prefecture","Gifu City","Utsuboyacho","Gifu","30-60minutes",10000000,"4LDK","75",,"","","","1991","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
24,"Residential Land(Land Only)","Residential Area","21201","Gifu Prefecture","Gifu City","Esakiminami","Nishigifu","21",2400000,"","370",6500,"Irregular Shaped","4.5","","","","","East","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
25,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Ebisucho","Gifu","30-60minutes",30000000,"","135",,"Rectangular Shaped","6.5","110","2014","W","House","North","City Road",6.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
26,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Oikecho","Gifu","29",33000000,"","360",,"Irregular Shaped","7.5","430","1979","RC","Housing Complex","North","City Road",7.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
27,"Residential Land(Land Only)","Residential Area","21201","Gifu Prefecture","Gifu City","Osugakita","Nishigifu","20",3600000,"","150",24000,"Rectangular Shaped","6.0","","","","","North","City Road",7.7,"Category 1 Residential District",60,200,"2nd quarter 2014",""
28,"Residential Land(Land Only)","Residential Area","21201","Gifu Prefecture","Gifu City","Osugaminami","Nishigifu","20",29000000,"","630",46000,"Rectangular Shaped","17.7","","","","","East","City Road",5.6,"Category 1 Residential District",60,200,"2nd quarter 2014",""
29,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Osugaminami","Nishigifu","20",4800000,"","90",,"Semi-trapezoidal Shaped","7.5","85","1973","W","House","Southwest","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
30,"Residential Land(Land Only)","Commercial Area","21201","Gifu Prefecture","Gifu City","Otomicho","Gifu","15",7000000,"","110",64000,"Rectangular Shaped","6.5","","","","","West","City Road",7.5,"Commercial District",80,600,"2nd quarter 2014","Dealings of adjacent land"
31,"Residential Land(Land Only)","Commercial Area","21201","Gifu Prefecture","Gifu City","Otomicho","Gifu","15",7000000,"","110",64000,"Rectangular Shaped","6.5","","","","","West","City Road",7.5,"Commercial District",80,600,"2nd quarter 2014","Dealings between related objects"
32,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Okinohashicho","Gifu","20",19000000,"","85",,"Semi-rectangular Shaped","14.0","230","1984","RC","House","West","City Road",7.7,"Category 2 Residential District",60,300,"2nd quarter 2014",""
33,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Okinohashicho","Gifu","19",8200000,"","85",,"Semi-rectangular Shaped","16.0","130","1966","W","House","West","City Road",7.6,"Category 2 Residential District",60,300,"2nd quarter 2014",""
34,"Residential Land(Land and Building)","Commercial Area","21201","Gifu Prefecture","Gifu City","Ogumacho","Gifu","25",55000000,"","550",,"Semi-rectangular Shaped","14.1","310","1979","","","West","City Road",11.0,"Commercial District",80,400,"2nd quarter 2014",""
35,"Residential Land(Land Only)","Residential Area","21201","Gifu Prefecture","Gifu City","Obusasakuramachi","Gifu","1H-1H30",16000000,"","210",77000,"Irregular Shaped","4.2","","","","","North","City Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
36,"Residential Land(Land and Building)","Commercial Area","21201","Gifu Prefecture","Gifu City","Oritate","Gifu","1H-1H30",140000000,"","2,000 m^2 or greater.",,"Semi-rectangular Shaped","41.5","1300","1970","SRC","Office","Northeast","City Road",7.2,"Category 2 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
37,"Residential Land(Land Only)","Residential Area","21201","Gifu Prefecture","Gifu City","Kagashima","Nishigifu","20",21000000,"","440",48000,"Semi-rectangular Shaped","20.0","","","","","North","City Road",3.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
38,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Kagashima","Nishigifu","19",19000000,"","190",,"Irregular Shaped","4.0","115","2002","LS","House","Northwest","City Road",5.1,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
39,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Kagashima","Nishigifu","20",33000000,"","175",,"Semi-rectangular Shaped","8.5","105","2013","W","House","South","Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
40,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Kagashimanishi","Nishigifu","20",58000000,"","1100",,"Semi-rectangular Shaped","35.0","630","1994","","Housing Complex","Southeast","Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
41,"Pre-owned Condominiums, etc.","","21201","Gifu Prefecture","Gifu City","Kagashimaminami","Nishigifu","6",10000000,"3LDK","65",,"","","","1994","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
42,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Gakuencho","Gifu","30-60minutes",9000000,"","190",,"Rectangular Shaped","18.0","135","1969","","","West","City Road",7.9,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
43,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Kano","Gifu","2H-",3800000,"","190",,"Semi-square Shaped","14.0","125","1968","W","House","South","City Road",5.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
44,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Kano","Gifu","2H-",5800000,"","175",,"Semi-rectangular Shaped","15.0","90","1974","W","House","Northwest","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
45,"Residential Land(Land and Building)","Residential Area","21201","Gifu Prefecture","Gifu City","Kanoasahimachi","Gifu","14",17000000,"","105",,"Rectangular Shaped","4.5","130","2002","S","House","South","City Road",5.6,"Category 2 Residential District",60,200,"2nd quarter 2014",""
