"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land and Building)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Akiyamacho","Shizuoka","1H-1H30",16000000,"","90",,"Rectangular Shaped","6.4","105","1994","W","House","East","City Road",8.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
2,"Residential Land(Land and Building)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Ashikubokuchigumi","Shizuoka","2H-",21000000,"","210",,"Semi-rectangular Shaped","10.0","115","2003","W","House","North","City Road",11.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
3,"Agricultural Land","","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Ashikubokuchigumi","","",2700000,"","440",,"","","","","","","","",,"",,,"2nd quarter 2014",""
4,"Residential Land(Land Only)","Commercial Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Azumacho","Shizuoka","13",35000000,"","140",250000,"Rectangular Shaped","10.0","","","","","Southeast","National Highway",21.0,"Near Commercial District",80,300,"2nd quarter 2014",""
5,"Residential Land(Land Only)","Commercial Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Ichibancho","Shizuoka","20",13000000,"","75",180000,"Rectangular Shaped","4.5","","","","","Southwest","National Highway",22.0,"Near Commercial District",80,200,"2nd quarter 2014",""
6,"Residential Land(Land and Building)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Oiwa","Shizuoka","30-60minutes",33000000,"","140",,"Semi-rectangular Shaped","8.0","125","1983","LS","House","East","City Road",5.5,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land and Building)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Oiwa","Shizuoka","30-60minutes",59000000,"","390",,"Semi-rectangular Shaped","13.5","","","","","Northwest","City Road",5.5,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings including private road"
8,"Residential Land(Land Only)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Oiwahoncho","Shizuoka","30-60minutes",19000000,"","100",190000,"Rectangular Shaped","6.5","","","","","North","City Road",6.8,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
9,"Pre-owned Condominiums, etc.","","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Kasuga","Shizuoka","23",4400000,"2LDK","65",,"","","","1972","SRC","House","","",,"Category 2 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
10,"Residential Land(Land Only)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Kamiashiarai","Shizuoka","30-60minutes",16000000,"","145",120000,"&quot;Flag-shaped&quot; etc.","4.5","","","","","Northwest","City Road",5.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
11,"Residential Land(Land and Building)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Kamiashiarai","Shizuoka","30-60minutes",30000000,"","115",,"Semi-rectangular Shaped","6.5","95","2010","W","House","Northwest","Private Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
12,"Residential Land(Land and Building)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Kamiashiarai","Shizuoka","29",26000000,"","85",,"Rectangular Shaped","6.0","120","2002","W","House","Southeast","City Road",3.5,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
13,"Residential Land(Land and Building)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Kamitemma","Shizuoka","1H-1H30",15000000,"","100",,"Semi-trapezoidal Shaped","7.0","95","1992","LS","House","West","Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,150,"2nd quarter 2014",""
14,"Residential Land(Land and Building)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Kawai","Shizuoka","1H-1H30",27000000,"","100",,"Semi-trapezoidal Shaped","11.0","85","2013","W","House","East","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
15,"Residential Land(Land Only)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Kawai","Shizuoka","1H-1H30",18000000,"","120",150000,"Semi-shaped","12.5","","","","","Southwest","City Road",4.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
16,"Residential Land(Land Only)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Kawai","Shizuoka","1H-1H30",31000000,"","300",100000,"Trapezoidal Shaped","18.5","","","","","East","City Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
17,"Residential Land(Land Only)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Kawai","Shizuoka","1H-1H30",14000000,"","115",120000,"Semi-shaped","15.4","","","","","Northeast","Private Road",4.3,"Category 1 Residential District",60,200,"2nd quarter 2014",""
18,"Residential Land(Land Only)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Kita","Shizuoka","1H30-2H",33000000,"","460",73000,"Irregular Shaped","27.5","","","","","South","City Road",5.0,"Category 1 Exclusive Mid-high Rise Residential District",60,150,"2nd quarter 2014",""
19,"Pre-owned Condominiums, etc.","","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Kitaando","Shizuoka","30-60minutes",14000000,"3LDK","70",,"","","","1995","RC","House","","",,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
20,"Pre-owned Condominiums, etc.","","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Kitaando","Shizuoka","30-60minutes",20000000,"3LDK","70",,"","","","2004","RC","House","","",,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
21,"Residential Land(Land Only)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Komagatadoori","Shizuoka","20",23000000,"","125",190000,"Rectangular Shaped","8.0","","","","","Southeast","City Road",6.0,"Near Commercial District",80,300,"2nd quarter 2014",""
22,"Forest Land","","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Sakanokami","","",150000,"","480",,"","","","","","","","",,"",,,"2nd quarter 2014",""
23,"Residential Land(Land and Building)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Sakuracho","Shizuoka","30-60minutes",25000000,"","100",,"Rectangular Shaped","7.6","85","2014","W","House","North","City Road",4.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
24,"Pre-owned Condominiums, etc.","","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Sambancho","Shizuoka","26",10000000,"3DK","55",,"","","","1991","RC","House","","",,"Near Commercial District",80,200,"2nd quarter 2014",""
25,"Residential Land(Land and Building)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Shiinoo","Shizuoka","1H-1H30",3100000,"","260",,"Semi-shaped","17.5","85","1995","W","House","West","Road",4.0,"Urbanization Control Area",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
26,"Residential Land(Land Only)","Residential Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Shiinoo","Shizuoka","1H-1H30",600000,"","175",3500,"Semi-shaped","15.0","","","","","West","Road",4.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
27,"Residential Land(Land and Building)","Commercial Area","22101","Shizuoka Prefecture","Aoi Ward,Shizuoka City","Shichikencho","Shizuoka","12",120000000,"","100",,"Rectangular Shaped","5.6","390","1999","S","Housing Complex, Workshop, Shop","Southeast","City Road",35.0,"Commercial District",80,600,"2nd quarter 2014",""
