"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land and Building)","Residential Area","23101","Aichi Prefecture","Chikusa Ward,Nagoya City","Asaokacho","Motoyama (Aichi)","6",310000000,"","280",,"Rectangular Shaped","10.0","680","2014","RC","Housing Complex","Northeast","City Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
2,"Pre-owned Condominiums, etc.","","23101","Aichi Prefecture","Chikusa Ward,Nagoya City","Ikesonocho","Motoyama (Aichi)","6",63000000,"4LDK","100",,"","","","2011","RC","House","","",,"Category 2 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
3,"Residential Land(Land Only)","Residential Area","23101","Aichi Prefecture","Chikusa Ward,Nagoya City","Imaike","Imaike (Aichi)","6",58000000,"","270",220000,"Trapezoidal Shaped","13.7","","","","","East","City Road",8.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
4,"Residential Land(Land and Building)","Commercial Area","23101","Aichi Prefecture","Chikusa Ward,Nagoya City","Imaike","Imaike (Aichi)","2",95000000,"","150",,"Rectangular Shaped","8.0","610","1991","RC","Housing Complex, Shop","East","City Road",6.0,"Commercial District",80,400,"2nd quarter 2014",""
5,"Residential Land(Land Only)","Commercial Area","23101","Aichi Prefecture","Chikusa Ward,Nagoya City","Imaike","Imaike (Aichi)","1",14000000,"","55",250000,"Rectangular Shaped","5.9","","","","","North","City Road",6.0,"Commercial District",80,500,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Commercial Area","23101","Aichi Prefecture","Chikusa Ward,Nagoya City","Imaike","Imaike (Aichi)","2",150000000,"","170",870000,"Rectangular Shaped","10.7","","","","","North","Prefectural Road",30.0,"Commercial District",80,600,"2nd quarter 2014",""
7,"Residential Land(Land and Building)","Commercial Area","23101","Aichi Prefecture","Chikusa Ward,Nagoya City","Imaike","Imaike (Aichi)","2",26000000,"","85",,"Semi-shaped","4.8","100","before the war","W","House","West","City Road",6.0,"Commercial District",80,600,"2nd quarter 2014",""
8,"Residential Land(Land and Building)","Commercial Area","23101","Aichi Prefecture","Chikusa Ward,Nagoya City","Imaike","Imaike (Aichi)","2",80000000,"","95",,"Rectangular Shaped","5.5","110","1957","W","House","West","Prefectural Road",30.0,"Commercial District",80,600,"2nd quarter 2014",""
9,"Residential Land(Land Only)","Commercial Area","23101","Aichi Prefecture","Chikusa Ward,Nagoya City","Imaike","Imaike (Aichi)","2",86000000,"","190",450000,"Rectangular Shaped","11.0","","","","","West","City Road",6.0,"Commercial District",80,600,"2nd quarter 2014",""
10,"Pre-owned Condominiums, etc.","","23101","Aichi Prefecture","Chikusa Ward,Nagoya City","Imaikeminami","Imaike (Aichi)","4",13000000,"3LDK","65",,"","","","1986","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of redecorated real estate"
