"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","24201","Mie Prefecture","Tsu City","Aioicho","Tsu","23",4600000,"","250",19000,"Rectangular Shaped","20.0","","","","","South","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
2,"Residential Land(Land Only)","Potential Residential Area","24201","Mie Prefecture","Tsu City","Anochouchida","Tsu","1H-1H30",7500000,"","2,000 m^2 or greater.",3000,"Irregular Shaped","30.0","","","","","Northwest","City Road",4.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",70,200,"2nd quarter 2014",""
3,"Residential Land(Land Only)","Potential Residential Area","24201","Mie Prefecture","Tsu City","Anochokusawa","Tsu","1H30-2H",1700000,"","690",2400,"Semi-trapezoidal Shaped","","","","","","No facing road","",,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",70,200,"2nd quarter 2014",""
4,"Forest Land","","24201","Mie Prefecture","Tsu City","Anochokondoku","","",130000,"","125",,"","","","","","","","",,"",,,"2nd quarter 2014",""
5,"Residential Land(Land Only)","Industrial Area","24201","Mie Prefecture","Tsu City","Anotsudai","Ishinden","30-60minutes",150000000,"","2,000 m^2 or greater.",25000,"Irregular Shaped","44.5","","","","","West","City Road",15.0,"Industrial District",60,200,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Industrial Area","24201","Mie Prefecture","Tsu City","Anotsudai","Ishinden","30-60minutes",65000000,"","2,000 m^2 or greater.",23000,"Semi-rectangular Shaped","46.7","","","","","Southwest","City Road",9.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land and Building)","Residential Area","24201","Mie Prefecture","Tsu City","Antocho","Ishinden","1H-1H30",4500000,"","340",,"Trapezoidal Shaped","","310","1995","S","Office, Warehouse","Southwest","City Road",5.5,"Urbanization Control Area",70,400,"2nd quarter 2014",""
8,"Residential Land(Land Only)","Residential Area","24201","Mie Prefecture","Tsu City","Ichishichooyama","Isehata","20",2500000,"","145",17000,"Semi-trapezoidal Shaped","","","","","","West","City Road",6.0,"Outside Urban Planning Area",,,"2nd quarter 2014",""
9,"Residential Land(Land and Building)","Residential Area","24201","Mie Prefecture","Tsu City","Ichishichoshomura","Kawaitakaoka","23",17000000,"","185",,"Semi-rectangular Shaped","12.6","95","2014","W","House","West","Road",6.0,"Outside Urban Planning Area",,,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Residential Area","24201","Mie Prefecture","Tsu City","Ichishichoshomura","Kawaitakaoka","23",19000000,"","210",,"Rectangular Shaped","15.6","100","2014","W","House","Northwest","Road",6.0,"Outside Urban Planning Area",,,"2nd quarter 2014",""
11,"Agricultural Land","","24201","Mie Prefecture","Tsu City","Ichishichotakano","","",3100000,"","2600",,"","","","","","","","",,"",,,"2nd quarter 2014",""
12,"Residential Land(Land and Building)","Residential Area","24201","Mie Prefecture","Tsu City","Ichishichonijigaoka","Isehata","24",12000000,"","230",,"Semi-trapezoidal Shaped","12.1","115","1992","LS","House","East","City Road",,"Outside Urban Planning Area",,,"2nd quarter 2014",""
13,"Residential Land(Land and Building)","Residential Area","24201","Mie Prefecture","Tsu City","Ichishichohata","Isehata","21",27000000,"","200",,"Semi-square Shaped","15.3","130","2014","W","House","South","City Road",,"Outside Urban Planning Area",,,"2nd quarter 2014",""
14,"Residential Land(Land and Building)","Residential Area","24201","Mie Prefecture","Tsu City","Ichishichohata","Kawaitakaoka","18",22000000,"","200",,"Rectangular Shaped","13.4","110","2013","W","House","North","City Road",6.0,"Outside Urban Planning Area",,,"2nd quarter 2014",""
15,"Pre-owned Condominiums, etc.","","24201","Mie Prefecture","Tsu City","Ishindenkozubeta","Tsu","21",27000000,"3LDK","70",,"","","","2006","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
16,"Residential Land(Land Only)","Commercial Area","24201","Mie Prefecture","Tsu City","Ishindencho","Higashiishinden","3",6000000,"","60",100000,"Trapezoidal Shaped","14.3","","","","","Southeast","City Road",9.0,"Near Commercial District",80,200,"2nd quarter 2014",""
17,"Residential Land(Land and Building)","Residential Area","24201","Mie Prefecture","Tsu City","Ishindencho","Higashiishinden","6",5000000,"","220",,"Semi-square Shaped","15.5","75","1963","W, B","House","Southwest","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",60,100,"2nd quarter 2014",""
18,"Residential Land(Land Only)","Residential Area","24201","Mie Prefecture","Tsu City","Ishindennakano","Edobashi","6",3400000,"","140",24000,"Irregular Shaped","27.0","","","","","West","City Road",9.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
19,"Residential Land(Land Only)","Residential Area","24201","Mie Prefecture","Tsu City","Ishindennakano","Edobashi","11",12000000,"","210",54000,"Irregular Shaped","17.3","","","","","Northeast","Road",6.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
