"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","25201","Shiga Prefecture","Otsu City","Akanecho","Karasaki","13",16000000,"","140",110000,"Semi-rectangular Shaped","12.7","","","","","West","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
2,"Pre-owned Condominiums, etc.","","25201","Shiga Prefecture","Otsu City","Akibadai","Zeze","15",10000000,"3LDK","70",,"","","","1989","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
3,"Pre-owned Condominiums, etc.","","25201","Shiga Prefecture","Otsu City","Asahigaoka","Otsu","12",11000000,"3LDK","60",,"","","","1990","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
4,"Pre-owned Condominiums, etc.","","25201","Shiga Prefecture","Otsu City","Awazucho","Ishiyama","3",29000000,"2LDK","70",,"","","","2012","RC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
5,"Residential Land(Land Only)","Residential Area","25201","Shiga Prefecture","Otsu City","Ishiyamadera","Ishiyama","30-60minutes",32000000,"","990",32000,"Irregular Shaped","12.9","","","","","East","City Road",5.2,"Category 1 Residential District",60,200,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Residential Area","25201","Shiga Prefecture","Otsu City","Ishiyamadera","Ishiyama","30-60minutes",11000000,"","150",69000,"&quot;Flag-shaped&quot; etc.","3.2","","","","","East","City Road",7.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land Only)","Residential Area","25201","Shiga Prefecture","Otsu City","Ishiyamadera","Ishiyama","30-60minutes",71000000,"","990",71000,"&quot;Flag-shaped&quot; etc.","12.9","","","","","East","City Road",5.2,"Category 1 Residential District",60,200,"2nd quarter 2014",""
8,"Pre-owned Condominiums, etc.","","25201","Shiga Prefecture","Otsu City","Ichiriyama","Seta (Shiga)","3",13000000,"2LDK","60",,"","","","2000","RC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
9,"Residential Land(Land and Building)","Residential Area","25201","Shiga Prefecture","Otsu City","Inazu","Seta (Shiga)","1H-1H30",8800000,"","120",,"Rectangular Shaped","6.0","75","1982","W","House","North","City Road",7.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
10,"Pre-owned Condominiums, etc.","","25201","Shiga Prefecture","Otsu City","Imakatata","Katata","14",9800000,"3LDK","55",,"","","","1995","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of redecorated real estate"
