"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land and Building)","Residential Area","27102","Osaka Prefecture","Miyakojima Ward,Osaka City","Uchindaicho","Noeuchindai","7",39000000,"","75",,"Irregular Shaped","13.3","105","2014","W","House","West","City Road",25.0,"Category 2 Residential District",80,300,"2nd quarter 2014",""
2,"Residential Land(Land and Building)","Residential Area","27102","Osaka Prefecture","Miyakojima Ward,Osaka City","Uchindaicho","Noeuchindai","5",88000000,"","250",,"Semi-rectangular Shaped","12.0","570","1974","S","Office, Warehouse","West","City Road",,"Category 1 Residential District",80,200,"2nd quarter 2014",""
3,"Pre-owned Condominiums, etc.","","27102","Osaka Prefecture","Miyakojima Ward,Osaka City","Uchindaicho","Noeuchindai","4",27000000,"3LDK","105",,"","","","1992","RC","House","","",,"Category 1 Residential District",80,300,"2nd quarter 2014","Dealings of redecorated real estate"
4,"Pre-owned Condominiums, etc.","","27102","Osaka Prefecture","Miyakojima Ward,Osaka City","Uchindaicho","Noeuchindai","4",24000000,"3LDK","60",,"","","","2000","SRC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of redecorated real estate"
5,"Pre-owned Condominiums, etc.","","27102","Osaka Prefecture","Miyakojima Ward,Osaka City","Katamachi","Osakajokitazume","3",19000000,"2LDK","50",,"","","","2004","RC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
6,"Residential Land(Land and Building)","Residential Area","27102","Osaka Prefecture","Miyakojima Ward,Osaka City","Kemacho","Miyakojima","29",110000000,"","340",,"Rectangular Shaped","11.6","510","1996","RC","Housing Complex","Northeast","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land and Building)","Residential Area","27102","Osaka Prefecture","Miyakojima Ward,Osaka City","Kemacho","Miyakojima","28",2000000,"","75",,"Irregular Shaped","4.1","85","1959","W","House","Northeast","Private Road",1.8,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings including private road"
8,"Residential Land(Land Only)","Residential Area","27102","Osaka Prefecture","Miyakojima Ward,Osaka City","Kemacho","Miyakojima","26",30000000,"","155",190000,"Irregular Shaped","14.5","","","","","Southwest","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
9,"Pre-owned Condominiums, etc.","","27102","Osaka Prefecture","Miyakojima Ward,Osaka City","Kemacho","Miyakojima","23",15000000,"3LDK","70",,"","","","1979","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
10,"Pre-owned Condominiums, etc.","","27102","Osaka Prefecture","Miyakojima Ward,Osaka City","Zengenjicho","Miyakojima","6",39000000,"","85",,"","","","2007","SRC","House","","",,"Semi-industrial District",60,200,"2nd quarter 2014",""
