"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Uozakikitamachi","Uozaki","9",40000000,"","110",360000,"Rectangular Shaped","7.6","","","","","Southwest","City Road",11.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
2,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Uozakikitamachi","Uozaki","5",16000000,"3LDK+S","85",,"","","","1971","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
3,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Uozakikitamachi","Uozaki","12",28000000,"3LDK","75",,"","","","1998","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
4,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Uozakikitamachi","Ogi","12",29000000,"2LDK","60",,"","","","2007","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
5,"Residential Land(Land Only)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Uozakikitamachi","Settsumotoyama","14",18000000,"","50",330000,"Rectangular Shaped","5.0","","","","","Northeast","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
6,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Uozakikitamachi","Settsumotoyama","11",19000000,"3LDK","65",,"","","","1985","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of redecorated real estate"
7,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Uozakinakamachi","Ogi","5",11000000,"3LDK","50",,"","","","1973","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
8,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Uozakinakamachi","Ogi","5",9500000,"3DK","50",,"","","","1973","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
9,"Residential Land(Land Only)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Uozakinishimachi","Uozaki","2",8500000,"","50",170000,"Irregular Shaped","8.0","","","","","North","City Road",4.3,"Category 1 Residential District",60,200,"2nd quarter 2014",""
10,"Residential Land(Land Only)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Uozakinishimachi","Uozaki","2",14000000,"","50",280000,"Irregular Shaped","8.0","","","","","North","City Road",4.3,"Category 1 Residential District",60,200,"2nd quarter 2014",""
11,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Uozakinishimachi","Uozaki","6",12000000,"3LDK","55",,"","","","1985","RC","House","","",,"Category 1 Residential District",,,"2nd quarter 2014","Dealings of redecorated real estate"
12,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Uozakinishimachi","Uozaki","5",15000000,"4LDK","90",,"","","","1979","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
13,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Uozakinishimachi","Uozaki","3",4500000,"1K","15",,"","","","1989","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
14,"Residential Land(Land Only)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Uozakiminamimachi","Uozaki","9",35000000,"","200",170000,"Semi-rectangular Shaped","17.7","","","","","West","City Road",8.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
15,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Uozakiminamimachi","Ogi","6",4800000,"2DK","50",,"","","","1969","SRC","House","","",,"Semi-residential District",60,300,"2nd quarter 2014","Dealings of redecorated real estate"
16,"Residential Land(Land and Building)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Uzumoridai","Mikage (Hankyu)","30-60minutes",32000000,"","175",,"Semi-square Shaped","13.0","105","1971","W","House","Southeast","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014","Dealings in which auction or arbiter participates"
17,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Uzumoridai","Mikage (Hankyu)","23",1500000,"3DK","55",,"","","","1970","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
18,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Ougi","Ogi","4",22000000,"2LDK","60",,"","","","2009","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
19,"Residential Land(Land Only)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Okamoto","Okamoto (Hyogo)","5",110000000,"","350",320000,"Semi-trapezoidal Shaped","14.0","","","","","West","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",60,150,"2nd quarter 2014",""
20,"Residential Land(Land and Building)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Okamoto","Settsumotoyama","3",140000000,"","145",,"Rectangular Shaped","9.3","300","1993","RC","Housing Complex","South","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
21,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Okamoto","Settsumotoyama","4",45000000,"3LDK","70",,"","","","2000","RC","House","","",,"Category 2 Exclusive Mid-high Rise Residential District",60,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
22,"Residential Land(Land and Building)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Kitaougi","Ogi","5",30000000,"","105",,"Semi-rectangular Shaped","9.0","100","1996","LS","House","Northwest","Private Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
23,"Residential Land(Land and Building)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Kitaougi","Ogi","4",17000000,"","70",,"Semi-rectangular Shaped","4.5","60","2013","","House","Southeast","Private Road",2.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
24,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Kitaougi","Ogi","5",26000000,"3LDK","75",,"","","","2000","RC","House","","",,"Category 1 Residential District",,,"2nd quarter 2014","Dealings of non-redecorating real estate"
25,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Kitaougi","Ogi","6",15000000,"1LDK","50",,"","","","1991","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
26,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Konancho","Sumiyoshi (JR/Rokko Liner)","9",25000000,"3LDK","70",,"","","","1998","SRC","House","","",,"Near Commercial District",80,400,"2nd quarter 2014","Dealings of redecorated real estate"
27,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Konancho","Settsumotoyama","10",6300000,"1DK","15",,"","","","1991","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of redecorated real estate"
28,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Konancho","Settsumotoyama","10",17000000,"2LDK","60",,"","","","1998","RC","House","","",,"",,,"2nd quarter 2014","Dealings of non-redecorating real estate"
29,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Koyochonaka","Island Kitaguchi","2",16000000,"2LDK","70",,"","","","1991","SRC","House","","",,"Category 1 Residential District",60,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
