"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land and Building)","Residential Area","31201","Tottori Prefecture","Tottori City","Aioicho","Tottori","25",9500000,"","130",,"Semi-rectangular Shaped","7.0","80","1978","LS","House","Northwest","City Road",8.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
2,"Forest Land","","31201","Tottori Prefecture","Tottori City","Aoyachoaoya","","",440000,"","1300",,"","","","","","","","",,"",,,"2nd quarter 2014",""
3,"Forest Land","","31201","Tottori Prefecture","Tottori City","Aoyachoaoya","","",200000,"","580",,"","","","","","","","",,"",,,"2nd quarter 2014",""
4,"Agricultural Land","","31201","Tottori Prefecture","Tottori City","Aoyachokawara","","",63000,"","660",,"","","","","","","","",,"",,,"2nd quarter 2014",""
5,"Agricultural Land","","31201","Tottori Prefecture","Tottori City","Aoyachokawara","","",70000,"","350",,"","","","","","","","",,"",,,"2nd quarter 2014",""
6,"Forest Land","","31201","Tottori Prefecture","Tottori City","Aridome","","",530000,"","5000 m^2 or greater.",,"","","","","","","","",,"",,,"2nd quarter 2014",""
7,"Residential Land(Land Only)","Residential Area","31201","Tottori Prefecture","Tottori City","Iwayoshi","Koyama","15",4900000,"","230",21000,"Semi-square Shaped","15.5","","","","","West","Access Road",6.0,"Industrial District",60,200,"2nd quarter 2014",""
8,"Residential Land(Land Only)","Commercial Area","31201","Tottori Prefecture","Tottori City","Iwayoshi","Koyama","15",850000,"","40",21000,"Irregular Shaped","15.0","","","","","South","City Road",18.0,"Industrial District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land Only)","Residential Area","31201","Tottori Prefecture","Tottori City","Iwayoshi","Koyama","14",7400000,"","150",49000,"Semi-square Shaped","12.5","","","","","South","Road",6.0,"Industrial District",60,200,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Commercial Area","31201","Tottori Prefecture","Tottori City","Eirakuonsencho","Tottori","8",110000000,"","970",,"Semi-rectangular Shaped","24.0","1900","1993","RC","Other","Southwest","City Road",8.5,"Commercial District",80,400,"2nd quarter 2014",""
