"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Pre-owned Condominiums, etc.","","35201","Yamaguchi Prefecture","Shimonoseki City","Akadacho","Ayaragi","21",10000000,"4LDK","75",,"","","","1996","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
2,"Pre-owned Condominiums, etc.","","35201","Yamaguchi Prefecture","Shimonoseki City","Akinenishimachi","Shinshimonoseki","6",17000000,"3LDK","70",,"","","","2001","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
3,"Pre-owned Condominiums, etc.","","35201","Yamaguchi Prefecture","Shimonoseki City","Akinehigashimachi","Shinshimonoseki","6",24000000,"4LDK","85",,"","","","2006","RC","House","","",,"Near Commercial District",80,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
4,"Residential Land(Land and Building)","Residential Area","35201","Yamaguchi Prefecture","Shimonoseki City","Ayaragiminamimachi","Ayaragi","8",8700000,"","240",,"Semi-square Shaped","15.5","90","","W","House","Southeast","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,80,"2nd quarter 2014",""
5,"Residential Land(Land Only)","Residential Area","35201","Yamaguchi Prefecture","Shimonoseki City","Oaza Aridomi","Shinshimonoseki","16",8000000,"","155",51000,"Semi-rectangular Shaped","11.0","","","","","Northeast","City Road",6.0,"Urbanization Control Area",70,200,"2nd quarter 2014",""
6,"Residential Land(Land and Building)","Commercial Area","35201","Yamaguchi Prefecture","Shimonoseki City","Ikunocho","Hatabu","19",270000000,"","660",,"Irregular Shaped","15.0","1200","1996","RC","Housing Complex","West","Prefectural Road",25.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land and Building)","Residential Area","35201","Yamaguchi Prefecture","Shimonoseki City","Ikuracho","Ayaragi","10",16000000,"","220",,"Square Shaped","","95","","W","House","Southwest","City Road",4.5,"",,,"2nd quarter 2014",""
8,"Residential Land(Land and Building)","Residential Area","35201","Yamaguchi Prefecture","Shimonoseki City","Ichinomiyagakuencho","Shinshimonoseki","21",17000000,"","210",,"Semi-trapezoidal Shaped","","115","","W","House","Southeast","City Road",6.0,"",,,"2nd quarter 2014",""
9,"Pre-owned Condominiums, etc.","","35201","Yamaguchi Prefecture","Shimonoseki City","Iriecho","Shimonoseki","16",33000000,"4LDK","90",,"","","","2014","RC","House","","",,"Commercial District",80,600,"2nd quarter 2014","Dealings of non-redecorating real estate"
10,"Pre-owned Condominiums, etc.","","35201","Yamaguchi Prefecture","Shimonoseki City","Ushirodacho","Hatabu","20",11000000,"3LDK","70",,"","","","1988","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of redecorated real estate"
