"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","36201","Tokushima Prefecture","Tokushima City","Akuicho","Akui","19",9000000,"","165",54000,"Semi-rectangular Shaped","14.1","","","","","North","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
2,"Pre-owned Condominiums, etc.","","36201","Tokushima Prefecture","Tokushima City","Atake","Tokushima","28",360000,"1K","20",,"","","","1985","RC","House","","",,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
3,"Forest Land","","36201","Tokushima Prefecture","Tokushima City","Iitanicho","","",1500000,"","5000 m^2 or greater.",,"","","","","","","","",,"",,,"2nd quarter 2014",""
4,"Residential Land(Land Only)","Residential Area","36201","Tokushima Prefecture","Tokushima City","Ojinchohigashisadakata","Yoshinari","23",7800000,"","220",36000,"Irregular Shaped","9.3","","","","","Southeast","City Road",4.5,"Urbanization Control Area",,,"2nd quarter 2014",""
5,"Residential Land(Land Only)","Residential Area","36201","Tokushima Prefecture","Tokushima City","Ojinchohigashisadakata","Yoshinari","21",8400000,"","165",50000,"Semi-square Shaped","12.8","","","","","South","City Road",6.0,"Urbanization Control Area",,,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Residential Area","36201","Tokushima Prefecture","Tokushima City","Obaracho","Chuden (Tokushima)","23",8400000,"","200",42000,"Semi-trapezoidal Shaped","10.0","","","","","Northwest","City Road",5.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
7,"Agricultural Land","","36201","Tokushima Prefecture","Tokushima City","Obaracho","","",5000000,"","380",,"","","","","","","","",,"",,,"2nd quarter 2014",""
8,"Residential Land(Land Only)","Commercial Area","36201","Tokushima Prefecture","Tokushima City","Omichi","Tokushima","14",14000000,"","115",120000,"Semi-rectangular Shaped","5.0","","","","","East","National Highway",22.0,"Commercial District",80,400,"2nd quarter 2014",""
9,"Residential Land(Land Only)","Residential Area","36201","Tokushima Prefecture","Tokushima City","Okinohamacho","Niken-ya","8",17000000,"","210",81000,"Square Shaped","14.0","","","","","Northeast","City Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
10,"Residential Land(Land Only)","Residential Area","36201","Tokushima Prefecture","Tokushima City","Kachidokibashi","Awatomida","8",30000000,"","400",74000,"Semi-shaped","14.7","","","","","Northeast","City Road",1.8,"Category 1 Residential District",60,200,"2nd quarter 2014",""
11,"Residential Land(Land and Building)","Residential Area","36201","Tokushima Prefecture","Tokushima City","Kachidokibashi","Awatomida","11",7000000,"","260",,"Semi-rectangular Shaped","10.5","95","1956","W","House","South","City Road",2.7,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
12,"Residential Land(Land Only)","Residential Area","36201","Tokushima Prefecture","Tokushima City","Kachidokibashi","Awatomida","7",17000000,"","210",82000,"Semi-rectangular Shaped","12.3","","","","","Northwest","Private Road",4.7,"Category 1 Residential District",60,200,"2nd quarter 2014",""
13,"Residential Land(Land and Building)","Residential Area","36201","Tokushima Prefecture","Tokushima City","Kanazawa","Tokushima","30-60minutes",8800000,"","165",,"Rectangular Shaped","15.0","115","1979","W","House","Southeast","Private Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
14,"Residential Land(Land Only)","Residential Area","36201","Tokushima Prefecture","Tokushima City","Kamihachimancho","Bunkanomori","1H-1H30",8000000,"","270",30000,"Semi-rectangular Shaped","15.5","","","","","North","City Road",6.2,"Urbanization Control Area",60,200,"2nd quarter 2014",""
