"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Pre-owned Condominiums, etc.","","37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)","13",5200000,"2LDK","50",,"","","","1990","SRC","House","","",,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
2,"Residential Land(Land and Building)","Industrial Area","37201","Kagawa Prefecture","Takamatsu City","Asahishimmachi","Imabashi","30-60minutes",33000000,"","1300",,"Semi-rectangular Shaped","24.0","310","1982","B","Office","West","City Road",12.3,"Semi-industrial District",60,200,"2nd quarter 2014",""
3,"Residential Land(Land Only)","Industrial Area","37201","Kagawa Prefecture","Takamatsu City","Asahimachi","Kataharamachi (Takamatsu)","17",11000000,"","480",23000,"Semi-rectangular Shaped","24.0","","","","","East","City Road",14.9,"Industrial District",60,200,"2nd quarter 2014",""
4,"Residential Land(Land and Building)","Industrial Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri","25",3600000,"","660",,"Semi-rectangular Shaped","21.0","230","1984","S","House, Factory","South","Private Road",5.0,"Outside Urban Planning Area",,,"2nd quarter 2014","Dealings in which auction or arbiter participates, Dealings including private road"
5,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri","1H-1H30",3200000,"","270",12000,"Semi-rectangular Shaped","12.5","","","","","Southeast","City Road",5.7,"Outside Urban Planning Area",,,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri","1H-1H30",7500000,"","520",14000,"Rectangular Shaped","37.0","","","","","Southwest","City Road",7.8,"Outside Urban Planning Area",,,"2nd quarter 2014",""
7,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri","1H-1H30",1500000,"","240",6000,"Irregular Shaped","25.0","","","","","Northwest","Road",2.7,"Outside Urban Planning Area",,,"2nd quarter 2014",""
8,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri","1H-1H30",1900000,"","75",24000,"Semi-rectangular Shaped","7.0","","","","","West","Private Road",3.5,"Outside Urban Planning Area",,,"2nd quarter 2014",""
9,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri","1H-1H30",1700000,"","75",22000,"Semi-rectangular Shaped","5.0","","","","","North","City Road",4.7,"Outside Urban Planning Area",,,"2nd quarter 2014",""
10,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri","1H-1H30",6000000,"","320",19000,"Semi-rectangular Shaped","13.0","","","","","North","City Road",3.5,"Outside Urban Planning Area",,,"2nd quarter 2014","Dealings including private road"
11,"Forest Land","","37201","Kagawa Prefecture","Takamatsu City","Ajicho","","",3000000,"","5000 m^2 or greater.",,"","","","","","","","",,"",,,"2nd quarter 2014",""
12,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya","14",9000000,"","350",26000,"Irregular Shaped","34.5","","","","","West","Prefectural Road",7.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",60,200,"2nd quarter 2014",""
13,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya","14",21000000,"","1900",11000,"Irregular Shaped","50.0m or longer.","","","","","Northwest","Agricultural Road",1.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",60,100,"2nd quarter 2014",""
14,"Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya","14",1700000,"","85",,"Semi-rectangular Shaped","5.5","60","1973","W","House","North","Private Road",4.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",60,100,"2nd quarter 2014",""
15,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza","10",14000000,"","810",17000,"Semi-trapezoidal Shaped","31.0","","","","","South","City Road",4.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",60,100,"2nd quarter 2014",""
16,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza","11",4300000,"","250",17000,"Irregular Shaped","35.0","","","","","South","City Road",4.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",60,100,"2nd quarter 2014",""
17,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza","7",12000000,"","300",41000,"Semi-rectangular Shaped","18.0","","","","","South","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",60,100,"2nd quarter 2014",""
18,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza","8",7700000,"","540",14000,"Irregular Shaped","18.0","","","","","East","Private Road",4.3,"Category 1 Exclusive Low Rise Residential District",60,100,"2nd quarter 2014","Dealings including private road"
19,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza","10",9600000,"","240",41000,"Semi-rectangular Shaped","13.0","","","","","South","Private Road",6.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",60,100,"2nd quarter 2014",""
20,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza","9",11000000,"","290",38000,"Semi-rectangular Shaped","21.0","","","","","South","Private Road",5.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",60,100,"2nd quarter 2014",""
21,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza","10",7600000,"","230",33000,"Semi-rectangular Shaped","16.0","","","","","West","Private Road",6.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",60,100,"2nd quarter 2014",""
22,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza","8",8400000,"","230",36000,"Semi-rectangular Shaped","19.0","","","","","East","Private Road",6.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",60,100,"2nd quarter 2014",""
23,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Okamoto (Takamatsu)","10",6500000,"","210",30000,"Semi-rectangular Shaped","12.5","","","","","North","Private Road",6.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",60,100,"2nd quarter 2014",""
24,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Otakamimachi","Ota (Takamatsu)","8",23000000,"","300",78000,"Rectangular Shaped","12.0","","","","","North","City Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
25,"Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Otashimomachi","Ota (Takamatsu)","15",25000000,"","165",,"Semi-square Shaped","13.0","105","2008","W","House","West","Private Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
26,"Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Otashimomachi","Ota (Takamatsu)","13",44000000,"","360",,"Rectangular Shaped","16.0","130","2012","LS","House","North","Private Road",5.0,"Category 2 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
27,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Otashimomachi","Ota (Takamatsu)","16",14000000,"","230",60000,"Rectangular Shaped","11.0","","","","","Northeast","Private Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
28,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Otashimomachi","Ota (Takamatsu)","13",5500000,"","110",50000,"Semi-rectangular Shaped","18.0","","","","","No facing road","",,"Category 1 Residential District",60,200,"2nd quarter 2014",""
29,"Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Okamotocho","Okamoto (Takamatsu)","8",10000000,"","320",,"Semi-trapezoidal Shaped","16.0","165","1972","W","House","North","Private Road",4.0,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",60,100,"2nd quarter 2014","Dealings in which auction or arbiter participates"
30,"Residential Land(Land Only)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoasano","Kukodori","30-60minutes",13000000,"","340",37000,"Semi-rectangular Shaped","21.0","","","","","South","Private Road",5.2,"Urban Planning Area outside Urbanization Area and Urbanization Control Area",70,200,"2nd quarter 2014",""
31,"Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoasano","Busshozan","30-60minutes",16000000,"","180",,"Semi-shaped","5.0","105","2008","W","House","East","City Road",6.5,"Category 2 Residential District",60,200,"2nd quarter 2014",""
32,"Agricultural Land","","37201","Kagawa Prefecture","Takamatsu City","Kagawachoasano","","",4200000,"","1400",,"","","","","","","","",,"",,,"2nd quarter 2014",""
33,"Agricultural Land","","37201","Kagawa Prefecture","Takamatsu City","Kagawachoasano","","",2200000,"","600",,"","","","","","","","",,"",,,"2nd quarter 2014",""
34,"Agricultural Land","","37201","Kagawa Prefecture","Takamatsu City","Kagawachoasano","","",2100000,"","460",,"","","","","","","","",,"",,,"2nd quarter 2014",""
35,"Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoono","Kukodori","28",790000,"","65",,"Semi-rectangular Shaped","3.0","55","1975","W","House","North","Private Road",3.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
36,"Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoono","Kukodori","28",18000000,"","1200",,"Irregular Shaped","26.0","","","","","West","Private Road",5.3,"Semi-residential District",60,200,"2nd quarter 2014",""
37,"Residential Land(Land Only)","Potential Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoono","Kukodori","30-60minutes",3600000,"","600",6100,"Semi-trapezoidal Shaped","","","","","","North","Private Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
