"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land and Building)","Residential Area","39201","Kochi Prefecture","Kochi City","Aoyagicho","Kochi","30-60minutes",20000000,"","610",,"Trapezoidal Shaped","15.0","240","1998","W","House","East","City Road",4.4,"Industrial District",60,150,"2nd quarter 2014","Dealings in which auction or arbiter participates"
2,"Residential Land(Land Only)","Residential Area","39201","Kochi Prefecture","Kochi City","Asakura","Asakura (JR)","7",7700000,"","160",48000,"Semi-rectangular Shaped","10.4","","","","","Southeast","Private Road",4.2,"Semi-industrial District",60,200,"2nd quarter 2014",""
3,"Residential Land(Land Only)","Residential Area","39201","Kochi Prefecture","Kochi City","Asakura","Asakura (JR)","30-60minutes",9600000,"","165",57000,"Semi-rectangular Shaped","17.4","","","","","East","City Road",6.3,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
4,"Residential Land(Land and Building)","Residential Area","39201","Kochi Prefecture","Kochi City","Azonokitamachi","Azono","13",26000000,"","130",,"Semi-rectangular Shaped","9.5","100","2014","W","House","South","City Road",4.6,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
5,"Residential Land(Land and Building)","Residential Area","39201","Kochi Prefecture","Kochi City","Azononishimachi","Azono","18",16000000,"","105",,"Semi-rectangular Shaped","7.3","95","1990","W","House","South","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Commercial Area","39201","Kochi Prefecture","Kochi City","Atagomachi","Kochi","7",16000000,"","125",130000,"Semi-rectangular Shaped","9.1","","","","","West","Prefectural Road",15.0,"Near Commercial District",80,300,"2nd quarter 2014",""
7,"Residential Land(Land Only)","Residential Area","39201","Kochi Prefecture","Kochi City","Atagoyama","Kochi","20",15000000,"","125",120000,"Semi-trapezoidal Shaped","8.1","","","","","Southwest","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
8,"Residential Land(Land Only)","Residential Area","39201","Kochi Prefecture","Kochi City","Ishitatecho","Asahi (Kochi)","20",3000000,"","200",15000,"Semi-rectangular Shaped","14.0","","","","","North","Private Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land and Building)","Residential Area","39201","Kochi Prefecture","Kochi City","Ishitatecho","Asahi (Kochi)","18",38000000,"","380",,"Semi-shaped","23.0","440","1986","S","Housing Complex","Northwest","City Road",9.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Commercial Area","39201","Kochi Prefecture","Kochi City","Izumicho","Kochi","5",11000000,"","110",,"Semi-rectangular Shaped","8.5","260","1982","S","House, Other","East","Ward Road",6.0,"Near Commercial District",80,200,"2nd quarter 2014",""
