"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land and Building)","Residential Area","41201","Saga Prefecture","Saga City","Isemachi","Saga","26",4000000,"","240",,"Semi-rectangular Shaped","13.1","120","1966","W","House","Southeast","Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
2,"Residential Land(Land Only)","Commercial Area","41201","Saga Prefecture","Saga City","Ekiminamihommachi","Saga","7",45000000,"","510",88000,"Irregular Shaped","12.3","","","","","South","City Road",11.0,"Commercial District",80,400,"2nd quarter 2014",""
3,"Residential Land(Land Only)","Residential Area","41201","Saga Prefecture","Saga City","Otakarakitamachi","Saga","17",4300000,"","110",40000,"Irregular Shaped","13.5","","","","","Southeast","Road",5.4,"Industrial District",60,200,"2nd quarter 2014",""
4,"Residential Land(Land Only)","Residential Area","41201","Saga Prefecture","Saga City","Onimarucho","Saga","30-60minutes",12000000,"","310",39000,"Semi-rectangular Shaped","11.0","","","","","West","Private Road",4.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
5,"Residential Land(Land Only)","Residential Area","41201","Saga Prefecture","Saga City","Kaisei","Saga","30-60minutes",15000000,"","300",48000,"Rectangular Shaped","16.0","","","","","East","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Residential Area","41201","Saga Prefecture","Saga City","Kamizono","Saga","23",19000000,"","380",50000,"Semi-rectangular Shaped","21.0","","","","","West","Private Road",,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land Only)","Residential Area","41201","Saga Prefecture","Saga City","Kamizono","Saga","21",38000000,"","750",51000,"Trapezoidal Shaped","26.0","","","","","Northwest","Prefectural Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
8,"Residential Land(Land and Building)","Residential Area","41201","Saga Prefecture","Saga City","Kawasoemachi Oaza Inuido","Saga","2H-",2000000,"","130",,"Semi-rectangular Shaped","8.5","100","1960","W","Shop","East","City Road",5.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
9,"Residential Land(Land Only)","Residential Area","41201","Saga Prefecture","Saga City","Kawasoemachi Oaza Kanoe","Saga","1H30-2H",4300000,"","250",17000,"Rectangular Shaped","14.0","","","","","East","City Road",5.0,"Urbanization Control Area",60,100,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Residential Area","41201","Saga Prefecture","Saga City","Kawasoemachi Oaza Kogomori","Saga","1H30-2H",2900000,"","290",,"Semi-trapezoidal Shaped","13.0","230","1982","W","House, Shop","South","City Road",3.6,"Urbanization Control Area",60,100,"2nd quarter 2014",""
11,"Residential Land(Land and Building)","Residential Area","41201","Saga Prefecture","Saga City","Kawasoemachi Oaza Kogomori","Saga","1H30-2H",300000,"","200",,"Rectangular Shaped","8.0","45","1982","W","Parking Lot","South","City Road",3.6,"Urbanization Control Area",60,100,"2nd quarter 2014",""
12,"Residential Land(Land and Building)","Residential Area","41201","Saga Prefecture","Saga City","Kawasoemachi Oaza Fukudomi","Saga","1H30-2H",5500000,"","700",,"Semi-rectangular Shaped","26.0","240","1973","W","House, Warehouse","South","Road",2.0,"Urbanization Control Area",60,100,"2nd quarter 2014","Dealings in which auction or arbiter participates"
13,"Residential Land(Land Only)","Residential Area","41201","Saga Prefecture","Saga City","Kawasoemachi Oaza Fukudomi","Saga","1H30-2H",1500000,"","270",5400,"Semi-rectangular Shaped","16.0","","","","","East","City Road",3.6,"Urbanization Control Area",60,100,"2nd quarter 2014","Dealings in which auction or arbiter participates"
