"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Aoyamamachi","Urakami","30-60minutes",13000000,"","210",61000,"Semi-trapezoidal Shaped","23.5","","","","","North","Road",3.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
2,"Pre-owned Condominiums, etc.","","42201","Nagasaki Prefecture","Nagasaki City","Asahimachi","Nagasaki (Nagasaki)","10",19000000,"3LDK","80",,"","","","2003","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
3,"Residential Land(Land Only)","Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Atago","Nagasaki (Nagasaki)","30-60minutes",7800000,"","370",21000,"Irregular Shaped","5.0","","","","","West","National Highway",8.0,"Semi-residential District",60,200,"2nd quarter 2014",""
4,"Residential Land(Land and Building)","Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Abamachi","Utsutsugawa","1H-1H30",17000000,"","230",,"Semi-trapezoidal Shaped","","160","","LS","House","West","City Road",,"Semi-industrial District",,,"2nd quarter 2014",""
5,"Residential Land(Land Only)","Potential Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Aburagimachi","Urakami","30-60minutes",120000000,"","2,000 m^2 or greater.",18000,"Irregular Shaped","50.0m or longer.","","","","","Northwest","Prefectural Road",15.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Potential Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Aburagimachi","Urakami","30-60minutes",17000000,"","2,000 m^2 or greater.",7800,"Irregular Shaped","50.0m or longer.","","","","","South","City Road",15.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land Only)","Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Ishigamimachi","Urakami","30-60minutes",22000000,"","185",120000,"Semi-trapezoidal Shaped","10.0","","","","","Southwest","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
8,"Residential Land(Land and Building)","Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Ishigamimachi","Urakami","30-60minutes",44000000,"","180",,"Semi-trapezoidal Shaped","10.5","115","2014","W","House","Southwest","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land Only)","Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Ishigamimachi","Urakami","30-60minutes",39000000,"","440",88000,"Semi-trapezoidal Shaped","22.0","","","","","Southeast","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
10,"Pre-owned Condominiums, etc.","","42201","Nagasaki Prefecture","Nagasaki City","Ishigamimachi","Nishiurakami","25",20000000,"4LDK","80",,"","","","1998","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
11,"Residential Land(Land Only)","Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Izumi","Nishiurakami","9",40000000,"","280",140000,"Semi-trapezoidal Shaped","","","","","","Southwest","City Road",9.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
12,"Pre-owned Condominiums, etc.","","42201","Nagasaki Prefecture","Nagasaki City","Izumi","Nishiurakami","14",32000000,"4LDK","100",,"","","","2007","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
13,"Pre-owned Condominiums, etc.","","42201","Nagasaki Prefecture","Nagasaki City","Izumi","Nishiurakami","8",32000000,"3LDK","90",,"","","","","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
14,"Residential Land(Land Only)","Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Izumo","Nagasaki (Nagasaki)","30-60minutes",37000000,"","340",110000,"Semi-rectangular Shaped","22.0","","","","","Southeast","City Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
15,"Residential Land(Land and Building)","Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Izumo","Nagasaki (Nagasaki)","30-60minutes",8800000,"","165",,"Semi-rectangular Shaped","7.5","90","2000","W","House","East","Road",2.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
16,"Residential Land(Land Only)","Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Iwayamachi","Michinoo","10",800000,"","125",6300,"Irregular Shaped","5.0","","","","","West","Private Road",3.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
17,"Agricultural Land","","42201","Nagasaki Prefecture","Nagasaki City","Utsutsugawamachi","","",1000000,"","200",,"","","","","","","","",,"",,,"2nd quarter 2014",""
18,"Forest Land","","42201","Nagasaki Prefecture","Nagasaki City","Utsutsugawamachi","","",1400000,"","5000 m^2 or greater.",,"","","","","","","","",,"",,,"2nd quarter 2014",""
19,"Forest Land","","42201","Nagasaki Prefecture","Nagasaki City","Utsutsugawamachi","","",930000,"","5000 m^2 or greater.",,"","","","","","","","",,"",,,"2nd quarter 2014",""
20,"Residential Land(Land and Building)","Commercial Area","42201","Nagasaki Prefecture","Nagasaki City","Uwamachi","Nagasaki (Nagasaki)","9",8000000,"","35",,"Rectangular Shaped","5.4","55","","W","House","Northwest","City Road",8.0,"Commercial District",80,500,"2nd quarter 2014",""
21,"Residential Land(Land and Building)","Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Egawamachi","Nagasaki (Nagasaki)","2H-",31000000,"","180",,"Irregular Shaped","","110","2014","W","House","Southeast","Road",5.5,"Category 2 Residential District",60,200,"2nd quarter 2014",""
22,"Residential Land(Land and Building)","Commercial Area","42201","Nagasaki Prefecture","Nagasaki City","Edomachi","Nagasaki (Nagasaki)","15",66000000,"","140",,"Rectangular Shaped","7.5","500","1964","SRC","Office","South","City Road",27.0,"Commercial District",80,600,"2nd quarter 2014",""
23,"Residential Land(Land and Building)","Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Enouramachi","Nagasaki (Nagasaki)","25",6000000,"","600",,"Semi-rectangular Shaped","","150","","W","House","Southeast","Road",,"Category 2 Residential District",,,"2nd quarter 2014",""
24,"Residential Land(Land and Building)","Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Ebira","Urakami","30-60minutes",6800000,"","660",,"Irregular Shaped","15.0","170","1987","W","House","West","Road",1.5,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
25,"Residential Land(Land and Building)","Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Erimachi","Nishiurakami","2H-",47000000,"","290",,"Irregular Shaped","12.0","450","2001","W","Housing Complex","Southeast","Road",1.3,"Category 1 Residential District",60,200,"2nd quarter 2014",""
26,"Residential Land(Land and Building)","Commercial Area","42201","Nagasaki Prefecture","Nagasaki City","Oidemachi","Nagasaki (Nagasaki)","15",50000000,"","260",,"Semi-rectangular Shaped","6.0","90","1969","W","House","Northeast","City Road",7.0,"Commercial District",80,500,"2nd quarter 2014",""
27,"Pre-owned Condominiums, etc.","","42201","Nagasaki Prefecture","Nagasaki City","Ouramachi","Nagasaki (Nagasaki)","24",31000000,"4LDK","80",,"","","","","RC","House","","",,"",,,"2nd quarter 2014","Dealings of redecorated real estate"
28,"Residential Land(Land and Building)","Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Ozonomachi","Michinoo","17",12000000,"","100",,"Rectangular Shaped","10.0","75","1984","W","House","North","City Road",5.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
29,"Residential Land(Land Only)","Potential Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Otanimachi","Nagasaki (Nagasaki)","30-60minutes",19000000,"","1500",12000,"Semi-trapezoidal Shaped","","","","","","Southwest","Road",,"Urbanization Control Area",,,"2nd quarter 2014",""
30,"Residential Land(Land and Building)","Residential Area","42201","Nagasaki Prefecture","Nagasaki City","Ote","Nishiurakami","29",14000000,"","230",,"Semi-rectangular Shaped","21.4","105","1994","W","Housing Complex","Southeast","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
