"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land and Building)","Residential Area","43101","Kumamoto Prefecture","Chuo Ward,Kumamoto City","Izumi","Minamikumamoto","29",22000000,"","320",,"&quot;Flag-shaped&quot; etc.","","130","1999","W","","South","Private Road",4.0,"Category 1 Exclusive Low Rise Residential District",40,80,"2nd quarter 2014","Dealings in which auction or arbiter participates, Dealings including private road"
2,"Residential Land(Land Only)","Residential Area","43101","Kumamoto Prefecture","Chuo Ward,Kumamoto City","Izumi","Minamikumamoto","25",22000000,"","310",74000,"Rectangular Shaped","14.5","","","","","East","City Road",5.0,"Category 1 Exclusive Low Rise Residential District",40,80,"2nd quarter 2014",""
3,"Pre-owned Condominiums, etc.","","43101","Kumamoto Prefecture","Chuo Ward,Kumamoto City","Kajiyamachi","Kumamoto","16",1800000,"1K","15",,"","","","1990","SRC","House","","",,"Commercial District",80,500,"2nd quarter 2014","Dealings of non-redecorating real estate"
4,"Pre-owned Condominiums, etc.","","43101","Kumamoto Prefecture","Chuo Ward,Kumamoto City","Kamitooricho","Kamikumamoto","29",43000000,"2LDK","75",,"","","","2014","RC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
5,"Pre-owned Condominiums, etc.","","43101","Kumamoto Prefecture","Chuo Ward,Kumamoto City","Kyomachi","Kamikumamoto","11",6800000,"2DK","50",,"","","","1990","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
6,"Residential Land(Land and Building)","Residential Area","43101","Kumamoto Prefecture","Chuo Ward,Kumamoto City","Kuhonji","Shinsuizenji","14",18000000,"","370",,"Semi-rectangular Shaped","16.0","200","1972","W","Housing Complex","South","Private Road",2.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
7,"Pre-owned Condominiums, etc.","","43101","Kumamoto Prefecture","Chuo Ward,Kumamoto City","Kuhonji","Shinsuizenji","10",25000000,"3LDK","85",,"","","","2007","RC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
8,"Residential Land(Land Only)","Residential Area","43101","Kumamoto Prefecture","Chuo Ward,Kumamoto City","Kurokami","Tatsutaguchi","13",28000000,"","420",67000,"Semi-trapezoidal Shaped","17.0","","","","","Southeast","Prefectural Road",11.5,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
9,"Pre-owned Condominiums, etc.","","43101","Kumamoto Prefecture","Chuo Ward,Kumamoto City","Kurokami","Tatsutaguchi","13",2000000,"1K","20",,"","","","1991","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,150,"2nd quarter 2014","Dealings of non-redecorating real estate"
10,"Residential Land(Land and Building)","Residential Area","43101","Kumamoto Prefecture","Chuo Ward,Kumamoto City","Kurokami","Tokaigakuenmae","25",11000000,"","280",,"Irregular Shaped","","90","1979","W","House","No facing road","",,"Category 1 Exclusive Mid-high Rise Residential District",60,150,"2nd quarter 2014",""
