"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","44201","Oita Prefecture","Oita City","Oaza Akagawa","Ozai","30-60minutes",9000000,"","420",21000,"Irregular Shaped","10.0","","","","","Northwest","Prefectural Road",4.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
2,"Residential Land(Land and Building)","Residential Area","44201","Oita Prefecture","Oita City","Oaza Ichi","Kaku","30-60minutes",15000000,"","220",,"Semi-square Shaped","15.0","90","1986","W","House","East","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
3,"Residential Land(Land and Building)","Residential Area","44201","Oita Prefecture","Oita City","Oaza Ichigi","Ozai","28",7800000,"","320",,"Semi-trapezoidal Shaped","18.0","105","1973","W","House","Northwest","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
4,"Residential Land(Land Only)","Residential Area","44201","Oita Prefecture","Oita City","Oaza Ino","Takajo","30-60minutes",11000000,"","175",62000,"Rectangular Shaped","16.0","","","","","South","Private Road",4.5,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
5,"Residential Land(Land Only)","Residential Area","44201","Oita Prefecture","Oita City","Uenogaoka","Oita","21",14000000,"","170",82000,"Semi-shaped","9.8","","","","","North","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
6,"Residential Land(Land and Building)","Residential Area","44201","Oita Prefecture","Oita City","Oaza Enokuma","Minamioita","11",17000000,"","270",,"Rectangular Shaped","18.5","370","1978","RC","Housing Complex, Shop","Northwest","City Road",7.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land and Building)","Residential Area","44201","Oita Prefecture","Oita City","Oaza Enokuma","Minamioita","21",23000000,"","130",,"Rectangular Shaped","10.0","100","2014","W","House","Northwest","Road",4.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
8,"Residential Land(Land and Building)","Residential Area","44201","Oita Prefecture","Oita City","Oaza Enokuma","Minamioita","9",5500000,"","125",,"Rectangular Shaped","9.0","75","1973","W","House","Northwest","Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land and Building)","Residential Area","44201","Oita Prefecture","Oita City","Ojinakamachi","Oita","24",3600000,"","250",,"Rectangular Shaped","","85","1975","W","House","West","Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
10,"Residential Land(Land Only)","Potential Residential Area","44201","Oita Prefecture","Oita City","Ozaihama","Ozai","21",18000000,"","650",27000,"Semi-rectangular Shaped","21.0","","","","","Northeast","City Road",16.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
11,"Residential Land(Land Only)","Residential Area","44201","Oita Prefecture","Oita City","Oaza Oshino","Shikido","14",20000000,"","830",24000,"Semi-shaped","26.0","","","","","West","City Road",5.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
12,"Residential Land(Land and Building)","Residential Area","44201","Oita Prefecture","Oita City","Oaza Onozuru","Kaku","24",4000000,"","220",,"Irregular Shaped","23.0","","","","Office","West","City Road",7.1,"Urbanization Control Area",60,200,"2nd quarter 2014",""
13,"Residential Land(Land Only)","Residential Area","44201","Oita Prefecture","Oita City","Oaza Onozuru","Minamioita","30-60minutes",11000000,"","220",47000,"Rectangular Shaped","13.5","","","","","Southeast","City Road",6.1,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
