"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","45201","Miyazaki Prefecture","Miyazaki City","Oaza Akae","Tayoshi","21",6000000,"","145",42000,"Rectangular Shaped","8.0","","","","","South","City Road",5.1,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
2,"Residential Land(Land and Building)","Commercial Area","45201","Miyazaki Prefecture","Miyazaki City","Asahi","Miyazaki","17",23000000,"","210",,"Semi-trapezoidal Shaped","13.6","280","1999","S","House, Shop","West","City Road",2.5,"Near Commercial District",80,300,"2nd quarter 2014",""
3,"Pre-owned Condominiums, etc.","","45201","Miyazaki Prefecture","Miyazaki City","Asahi","Miyazaki","13",6000000,"3LDK","70",,"","","","1991","SRC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
4,"Pre-owned Condominiums, etc.","","45201","Miyazaki Prefecture","Miyazaki City","Asahi","Miyazaki","12",9800000,"3LDK","65",,"","","","1991","SRC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
5,"Residential Land(Land Only)","Residential Area","45201","Miyazaki Prefecture","Miyazaki City","Azumacho","Miyazaki","16",22000000,"","330",67000,"Trapezoidal Shaped","18.3","","","","","Northeast","City Road",9.5,"Category 2 Residential District",60,200,"2nd quarter 2014",""
6,"Agricultural Land","","45201","Miyazaki Prefecture","Miyazaki City","Awakigaharacho","","",1800000,"","940",,"","","","","","","","",,"",,,"2nd quarter 2014",""
7,"Agricultural Land","","45201","Miyazaki Prefecture","Miyazaki City","Oaza Ikime","","",3000000,"","1000",,"","","","","","","","",,"",,,"2nd quarter 2014",""
8,"Residential Land(Land and Building)","Residential Area","45201","Miyazaki Prefecture","Miyazaki City","Ikimedainishi","Minamimiyazaki","1H-1H30",23000000,"","260",,"Rectangular Shaped","","125","1993","W","House","South","City Road",,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
9,"Residential Land(Land and Building)","Residential Area","45201","Miyazaki Prefecture","Miyazaki City","Ikimedainishi","Minamimiyazaki","1H-1H30",25000000,"","260",,"Rectangular Shaped","","125","1992","W","House","South","City Road",,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
10,"Agricultural Land","","45201","Miyazaki Prefecture","Miyazaki City","Oaza Uchiumi","","",380000,"","110",,"","","","","","","","",,"",,,"2nd quarter 2014",""
11,"Forest Land","","45201","Miyazaki Prefecture","Miyazaki City","Oaza Uchiumi","","",500000,"","530",,"","","","","","","","",,"",,,"2nd quarter 2014",""
12,"Agricultural Land","","45201","Miyazaki Prefecture","Miyazaki City","Oaza Uryuno","","",2000000,"","2000",,"","","","","","","","",,"",,,"2nd quarter 2014",""
13,"Agricultural Land","","45201","Miyazaki Prefecture","Miyazaki City","Oaza Uryuno","","",1200000,"","145",,"","","","","","","","",,"",,,"2nd quarter 2014",""
14,"Pre-owned Condominiums, etc.","","45201","Miyazaki Prefecture","Miyazaki City","Ehiranishi","Miyazaki","19",15000000,"3LDK","75",,"","","","1998","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
15,"Residential Land(Land and Building)","Residential Area","45201","Miyazaki Prefecture","Miyazaki City","Ehirahigashi","Miyazaki","19",9000000,"","135",,"Rectangular Shaped","7.5","65","1973","W","House","West","City Road",1.5,"Category 2 Residential District",60,200,"2nd quarter 2014",""
16,"Residential Land(Land Only)","Commercial Area","45201","Miyazaki Prefecture","Miyazaki City","Ehirahigashi","Miyazakijingu","14",54000000,"","630",85000,"Rectangular Shaped","18.0","","","","","Northwest","National Highway",25.0,"Near Commercial District",80,300,"2nd quarter 2014",""
17,"Residential Land(Land and Building)","Residential Area","45201","Miyazaki Prefecture","Miyazaki City","Ehirahigashimachi","Miyazaki","18",30000000,"","300",,"Semi-square Shaped","16.5","210","1989","SRC","House, Other","Northeast","City Road",6.0,"Category 2 Residential District",60,150,"2nd quarter 2014",""
18,"Residential Land(Land and Building)","Commercial Area","45201","Miyazaki Prefecture","Miyazaki City","Oshimacho","Miyazakijingu","19",66000000,"","1100",,"Irregular Shaped","31.0","320","1999","S","House, Shop","Northwest","City Road",15.0,"Urbanization Control Area",,,"2nd quarter 2014",""
19,"Residential Land(Land and Building)","Residential Area","45201","Miyazaki Prefecture","Miyazaki City","Oshimacho","Miyazakijingu","24",22000000,"","195",,"Semi-rectangular Shaped","7.0","85","2014","W","House","South","City Road",6.0,"Urbanization Control Area",,,"2nd quarter 2014",""
20,"Agricultural Land","","45201","Miyazaki Prefecture","Miyazaki City","Oshimacho","","",16000000,"","1800",,"","","","","","","","",,"",,,"2nd quarter 2014",""
21,"Forest Land","","45201","Miyazaki Prefecture","Miyazaki City","Oaza Osemachi","","",300000,"","110",,"","","","","","","","",,"",,,"2nd quarter 2014",""
22,"Forest Land","","45201","Miyazaki Prefecture","Miyazaki City","Oaza Osemachi","","",1600000,"","920",,"","","","","","","","",,"",,,"2nd quarter 2014",""
23,"Forest Land","","45201","Miyazaki Prefecture","Miyazaki City","Oaza Osemachi","","",340000,"","370",,"","","","","","","","",,"",,,"2nd quarter 2014",""
24,"Forest Land","","45201","Miyazaki Prefecture","Miyazaki City","Oaza Osemachi","","",1000000,"","830",,"","","","","","","","",,"",,,"2nd quarter 2014",""
25,"Forest Land","","45201","Miyazaki Prefecture","Miyazaki City","Oaza Osemachi","","",60000,"","520",,"","","","","","","","",,"",,,"2nd quarter 2014",""
26,"Residential Land(Land and Building)","Residential Area","45201","Miyazaki Prefecture","Miyazaki City","Ota","Minamimiyazaki","8",20000000,"","430",,"Rectangular Shaped","16.5","135","1970","","","Northwest","Prefectural Road",8.1,"Category 2 Residential District",60,200,"2nd quarter 2014",""
27,"Pre-owned Condominiums, etc.","","45201","Miyazaki Prefecture","Miyazaki City","Otsukadaihigashi","Miyazaki","30-60minutes",12000000,"3LDK","70",,"","","","1995","RC","House","","",,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
28,"Residential Land(Land and Building)","Commercial Area","45201","Miyazaki Prefecture","Miyazaki City","Otsukacho","Miyazaki","30-60minutes",74000000,"","810",,"Rectangular Shaped","18.0","430","1980","RC","Office, Warehouse, Shop","Northeast","National Highway",13.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
29,"Pre-owned Condominiums, etc.","","45201","Miyazaki Prefecture","Miyazaki City","Otsukacho","Miyazaki","30-60minutes",8900000,"","60",,"","","","1992","SRC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
30,"Residential Land(Land and Building)","Residential Area","45201","Miyazaki Prefecture","Miyazaki City","Otsubonishi","Minamimiyazaki","26",18000000,"","240",,"Semi-rectangular Shaped","13.5","155","1986","W","House","West","City Road",8.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
31,"Residential Land(Land and Building)","Residential Area","45201","Miyazaki Prefecture","Miyazaki City","Otsubohigashi","Minamimiyazaki","28",41000000,"","165",,"Semi-trapezoidal Shaped","15.4","115","2014","LS","House","West","City Road",6.3,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
32,"Residential Land(Land Only)","Residential Area","45201","Miyazaki Prefecture","Miyazaki City","Ohashi","Miyazaki","23",2500000,"","50",51000,"Irregular Shaped","6.0","","","","","West","City Road",5.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
33,"Residential Land(Land Only)","Residential Area","45201","Miyazaki Prefecture","Miyazaki City","Ohashi","Miyazaki","28",16000000,"","200",80000,"Semi-rectangular Shaped","11.0","","","","","East","City Road",4.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
34,"Residential Land(Land and Building)","Residential Area","45201","Miyazaki Prefecture","Miyazaki City","Oaza Kaeda","Kodomonokuni","5",300000,"","360",,"Semi-shaped","12.7","60","1976","W","House","Southwest","Road",2.5,"Urbanization Control Area",70,200,"2nd quarter 2014",""
35,"Agricultural Land","","45201","Miyazaki Prefecture","Miyazaki City","Oaza Kagamizu","","",700000,"","2800",,"","","","","","","","",,"",,,"2nd quarter 2014",""
