"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Pre-owned Condominiums, etc.","","47201","Okinawa Prefecture","Naha City","Akebono","","",21000000,"3LDK","85",,"","","","2006","RC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings in which auction or arbiter participates, Dealings of non-redecorating real estate"
2,"Residential Land(Land Only)","Residential Area","47201","Okinawa Prefecture","Naha City","Aza Asato","Makishi","8",9300000,"","110",85000,"Irregular Shaped","9.2","","","","","Northeast","City Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
3,"Residential Land(Land and Building)","Residential Area","47201","Okinawa Prefecture","Naha City","Ameku","Omoromachi","16",70000000,"","220",,"Rectangular Shaped","12.0","185","2000","LS","House","Southwest","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,150,"2nd quarter 2014",""
4,"Residential Land(Land and Building)","Residential Area","47201","Okinawa Prefecture","Naha City","Ameku","Furujima","18",230000000,"","530",,"Rectangular Shaped","13.0","680","2006","RC","Housing Complex, Shop","Southeast","City Road",16.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
5,"Residential Land(Land and Building)","Residential Area","47201","Okinawa Prefecture","Naha City","Izumizaki","Kenchomae (Okinawa)","12",60000000,"","135",,"Semi-rectangular Shaped","10.0","170","1997","RC","House, Shop","East","City Road",8.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Residential Area","47201","Okinawa Prefecture","Naha City","Uenoya","Miebashi","19",65000000,"","270",240000,"Rectangular Shaped","14.5","","","","","South","City Road",9.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land Only)","Residential Area","47201","Okinawa Prefecture","Naha City","Uebaru","Akamine","7",22000000,"","180",120000,"Semi-trapezoidal Shaped","","","","","","South","City Road",,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
8,"Residential Land(Land Only)","Commercial Area","47201","Okinawa Prefecture","Naha City","Aza Uema","Gibo","30-60minutes",470000000,"","2,000 m^2 or greater.",170000,"Irregular Shaped","","","","","","Southwest","National Highway",18.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
9,"Residential Land(Land Only)","Residential Area","47201","Okinawa Prefecture","Naha City","Aza Uema","Shuri","30-60minutes",33000000,"","290",110000,"Rectangular Shaped","21.0","","","","","North","National Highway",22.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
10,"Pre-owned Condominiums, etc.","","47201","Okinawa Prefecture","Naha City","Omoromachi","Omoromachi","15",27000000,"3LDK","65",,"","","","2003","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
